cp,grid_point,distance_gp,mean_gp_distance
N_23,31,40.41048772325133,266.79442436591296
N_24,24,53.51125090937453,264.6936761254547
O_1,32,48.289947193375866,264.17407962996316
O_2,32,45.47574630944851,265.33668575539826
O_3,18A,28.116839291709283,268.1682821013795
O_4,18A,19.611392683469518,272.72948471950866
O_5,18A,35.04691764400884,279.1511740046332
O_6,11,57.02190392917784,287.0600432220578
O_7,11,32.91363387806986,296.3260916337232
O_8,11,12.83536373691052,306.96681030538997
O_9,11,22.26691144763163,319.4573195269389
O_10,11,45.56877945981648,333.454379252753
O_11,3A,52.34837295119725,348.6984048064509
O_12,3A,39.88437005814415,365.17606795712834
O_13,47,19.35466351799366,374.8179249225658
O_14,47,35.05930743388999,357.7447412457153
O_15,38A,39.96176924806518,341.9016725382737
O_16,38A,15.004212463887047,327.2424747184207
O_17,38A,10.14590809359523,314.19405246538287
O_18,38A,35.07680424145045,302.9787126560708
O_19,33A,59.41071420903963,293.0411268867582
O_20,31,52.049038733055326,284.4878631455335
O_21,31,38.879951498413085,277.47487522552933
O_22,31,39.54526965272865,272.1351938103813
O_23,24,46.55976883580202,268.42512961267227
O_24,24,29.886721253013413,266.2603943634398
P_1,24,29.46608308438048,265.81649908512424
P_2,24,45.74837620249808,267.123438289367
P_3,18A,21.440346893385094,269.9729927574877
P_4,18A,7.330654713995413,274.47105200508554
P_5,18A,29.956940790874025,281.10493840494365
P_6,18A,54.68754794131473,289.151434181136
P_7,11,47.73480086726199,298.58833267228806
P_8,11,36.87886093217083,309.4837935482626
P_9,11,41.12321980441287,321.93126081381206
P_10,4,41.82701629234549,335.84737412715043
P_11,4,39.3196558915453,351.1599091834528
P_12,47,7.713440482441033,376.86380727540734
P_13,47,30.23324814469279,360.0544895930204
P_14,38A,47.85245932801947,344.39574014053017
P_15,38A,30.299193142492094,330.0081621921656
P_16,38A,28.210887120235967,317.1431445440052
P_17,38A,43.8554104030084,305.8392721797897
P_18,33A,39.259135111457,295.888752692593
P_19,33A,27.46673378431395,287.3658270670936
P_20,33A,34.888298707499516,280.5359616448139
P_21,33A,54.125737606480854,275.33111465655213
P_22,24,38.042133630657126,271.61820873757114
P_23,24,13.138029515784968,269.33617375992327
P_24,24,12.150792433641527,268.94317363379656
Q_1,24,37.044645498883916,270.49315309296736
Q_2,18A,37.12748431464567,273.5297784545795
Q_3,18A,31.18493342918131,278.22469781246616
Q_4,18A,42.616663062110675,284.6759768383144
Q_5,10A,61.40670504087555,292.69887050321887
Q_6,10A,57.118499391406516,302.21779172240196
Q_7,11,61.684554131187646,313.2394873972572
