cp,dist_center
Q_21,111.26279617359765
Q_22,101.5412622497834
Q_23,97.42610567035248
Q_24,99.61457821578891
R_1,107.72317447980757
R_2,120.5632632571234
R_3,136.80905881312836
R_4,155.3960639782865
R_5,175.5823306230004
R_6,196.8765424135735
R_7,218.95568291977963
R_8,241.60465477979255
R_9,264.677213482079
R_10,350.89665120148356
R_11,327.58155923852865
R_12,304.5338997230503
R_13,281.8192935277504
R_14,259.5252055828632
R_15,237.76995280942532
R_16,216.7158706340751
R_17,196.58836871176499
R_18,177.70257409325666
R_19,160.49742355555267
R_20,145.57005562639293
R_21,133.68567320984891
R_22,125.71029133679849
R_23,122.41035689485567
R_24,124.15922680957001
S_1,130.75447116249293
S_2,141.52013940014376
S_3,155.59295608534853
S_4,172.163835080915
S_5,190.58227681572734
S_6,210.36354808841836
S_7,231.15804223674485
S_8,252.71576645921866
S_9,360.37606639527155
S_10,337.7160454608266
S_11,315.40980563343743
S_12,293.53801051232097
S_13,272.20540358313133
S_14,251.54919969512764
S_15,231.7503354869489
S_16,213.04796671839165
S_17,195.75661993996027
S_18,180.282756735215
S_19,167.1319553643768
S_20,156.88947903207549
S_21,150.15167916930093
S_22,147.3999487260195
S_23,148.8555105169481
S_24,154.39942078379568
T_1,163.61662282624079
T_2,175.93071759174435
T_3,190.74285181326456
T_4,207.51880311747342
T_5,225.82132709581887
T_6,245.30896824325362
T_7,265.72110948655813
T_8,371.2995537901147
T_9,349.34878956411984
T_10,327.8350117032791
T_11,306.850147507862
T_12,286.5104381179851
T_13,266.9633856529665
T_14,248.3961904007984
T_15,231.04520235432648
T_16,215.2047946930094
T_17,201.23200984257304
T_18,189.54033848599383
T_19,180.57341454463307
T_20,174.75118359180124
T_21,172.3925586951455
T_22,173.6387411277443
T_23,178.41421060861705
T_24,186.44797846746684
U_1,197.34251139090972
U_2,210.65442062205386
U_3,225.95686104633523
U_4,242.87387916522988
U_5,261.0918216074777
U_6,280.357196156264
U_7,383.5437498537058
U_8,362.33551603151307
U_9,341.64051912342427
U_10,321.557867941197
U_11,302.20966324710037
U_12,283.74618709145227
U_13,266.3514911084216
U_14,250.2485463311442
U_15,235.70225512037848
U_16,223.0174235232493
U_17,212.52762013710642
U_18,204.57078835602243
U_19,199.45030853630473
U_20,197.38704036145552
U_21,198.47635080646933
U_22,202.66741217290613
U_23,209.77439806501482
U_24,219.5142733643714
V_1,231.55503522630167
V_2,245.55845020168977
V_3,261.209055336432
V_4,278.2290220643169
V_5,417.93185967490064
V_6,396.98647012172495
V_7,376.5361544205953
V_8,356.6660815323777
V_9,337.4787576175925
V_10,319.0973675354147
V_11,301.6692693948217
V_12,285.36917532128854
V_13,270.40115448937
V_14,256.9980592859627
V_15,245.41642284772266
V_16,235.92464629926602
V_17,228.7829907536081
V_18,224.2161345327042
V_19,222.3827626232458
V_20,223.35019865412963
V_21,227.0826487556946
V_22,233.4475262076077
V_23,242.23741581306135
V_24,253.1998889136982
W_1,266.0665365511108
W_2,280.5755156821791
W_3,296.4858143759213
W_4,431.75165169422047
W_5,411.5102755320471
W_6,391.8187399733821
W_7,372.7641923832714
W_8,354.4493775574537
W_9,336.9949248587596
W_10,320.54141308657745
W_11,305.250742234666
W_12,291.30608259891187
W_13,278.9093972715812
W_14,268.2753622912354
W_15,259.6206620054811
W_16,253.1483878419266
W_17,249.02876218284862
W_18,247.37934942309872
W_19,248.24939203903872
W_20,251.6127555892972
W_21,257.3717095997806
W_22,265.37033562181824
W_23,275.4135674889259
W_24,287.28705380008586
X_1,300.7741169220912
X_2,427.00486681011273
X_3,408.0617286758911
X_4,389.80199144145416
X_5,372.32621538574824
X_6,355.7499526177747
X_7,340.2047132445803
X_8,325.83809636582976
X_9,312.8125367809935
X_10,301.3020101058152
X_11,291.48605356386037
X_12,283.5407158583033
X_13,277.62664799304866
X_14,273.8754713425166
X_15,272.3765627402436
X_16,273.167000307343
X_17,276.22713151301366
X_18,281.4829414203761
X_19,288.81458487556296
X_20,298.0689225058222
X_21,309.0732933980551
X_22,321.6481288908093
X_23,375.23389798528655
X_24,360.52974401926303
Y_1,347.0056403729005
Y_2,334.80461851303767
Y_3,324.0761495435571
Y_4,314.97074281688344
Y_5,307.63255185219657
Y_6,302.19034578375226
Y_7,298.74775850557126
Y_8,297.37424457940074
Y_9,298.0984056754069
Y_10,300.90509732002556
Y_11,305.7369714635251
Y_12,312.5001021543466
Y_13,321.07247153082795
Y_14,331.31367327827456
Y_15,343.07428966495917
Y_16,357.1926398820104
Y_17,347.1567371000713
Y_18,338.6724350164513
Y_19,331.8587596664849
Y_20,326.82021738870736
Y_21,323.639726581183
Y_22,322.37228595027153
Y_23,323.04041368726365
Y_24,325.6321958930404
Z_1,330.1023252408458
Z_2,336.37592550135037
Z_3,344.3544415043591
Z_4,353.922589712909
Z_5,356.1919226713289
Z_6,351.50235262934376
Z_7,348.54715897683906
Z_8,347.3706092306419
Z_9,347.99074453879683
Z_10,350.3980256948877
Z_11,354.55605274619717
Z_12,360.40423508337454
Z_13,367.86197247344455
Z_14,376.8337152087386
Z_15,372.9477278299981
Z_16,375.194917104863
Z_17,379.08105194976514
Z_18,384.55644849031756
Z_19,391.554440915333
Z_20,399.995122881957
Z_21,408.8106058843876
Z_22,415.4002041534959
