cp,x,y
D_16,186343.44697776975,448015.2992892373
D_17,186342.62612456517,447990.3165045475
D_18,186341.8052741061,447965.333719658
D_19,186340.9844263922,447940.3509345682
D_20,186340.16358142282,447915.36814928224
D_21,186339.3427391983,447890.3853637994
D_22,186338.52189971888,447865.40257811494
D_23,186337.70106298398,447840.41979222867
D_24,186336.8802289946,447815.43700615014
E_1,186336.0593977495,447790.45421986975
E_2,186335.23856924978,447765.4714333847
E_3,186334.41774349535,447740.48864669935
E_4,186333.59692048526,447715.50585981813
E_5,186332.7761002196,447690.5230727376
E_6,186331.95528269946,447665.5402854541
E_7,186331.1344679243,447640.55749796756
E_8,186330.31365589343,447615.5747102829
E_11,186327.8512362715,447540.6263460136
E_12,186327.0304352201,447515.64355752344
E_13,186326.20963691408,447490.6607688297
E_14,186325.38884135248,447465.6779799372
E_15,186324.5680485356,447440.69519083464
E_16,186318.46419223532,448016.1201439295
E_17,186317.64333883347,447991.1373565012
E_18,186316.82248817533,447966.1545688604
E_19,186316.00164026287,447941.1717810276
E_20,186315.18079509446,447916.1889929974
E_21,186314.359952671,447891.2062047715
E_22,186313.5391129926,447866.22341633507
E_23,186312.7182760588,447841.2406277099
E_24,186311.89744186934,447816.2578388802
F_1,186311.07661042482,447791.2750498595
F_2,186310.25578172557,447766.29226062464
F_3,186309.43495577047,447741.30947119725
F_4,186308.6141325598,447716.3266815783
F_5,186307.79331209432,447691.3438917434
F_6,186306.97249437356,447666.36110172176
F_7,186306.15167939712,447641.37831149227
F_8,186305.33086716538,447616.3955210589
F_9,186304.51005767874,447591.41273043386
F_10,186303.68925093673,447566.42993959074
F_11,186302.86844693898,447541.4471485566
F_12,186302.04764568596,447516.4643573273
F_13,186301.22684717723,447491.48156588455
F_14,186300.40605141345,447466.4987742455
F_15,186299.5852583945,447441.51598240173
F_16,186293.48140395698,448016.94099882385
F_17,186292.66055035635,447991.95820864086
F_18,186291.83969950004,447966.97541826207
F_19,186291.01885138894,447941.99262769264
F_20,186290.19800602208,447917.00983690674
F_21,186289.37716339983,447892.0270459464
F_22,186288.55632352174,447867.04425476666
F_23,186287.73548638896,447842.0614633915
F_24,186286.91465200033,447817.07867182133
G_1,186286.0938203554,447792.09588004503
G_2,186285.27299145583,447767.11308808246
G_3,186284.4521653013,447742.1302959019
G_4,186283.63134189032,447717.14750353404
G_5,186282.81052122405,447692.1647109602
G_6,186281.9897033026,447667.1819181917
G_7,186281.16888812554,447642.1991252094
G_8,186280.3480756931,447617.2163320346
G_9,186279.5272660047,447592.23353866
G_10,186278.70645906063,447567.25074508676
G_11,186277.8856548618,447542.2679513101
G_12,186277.06485340698,447517.28515732876
G_13,186276.2440546966,447492.3023631435
G_16,186269.31946947673,448042.74464664375
G_17,186268.49861293365,448017.76185391104
G_18,186267.6777591348,447992.7790609927
G_19,186266.85690808104,447967.79626786796
G_20,186266.03605977038,447942.8134745476
G_21,186265.2152142047,447917.83068102103
G_22,186264.39437138374,447892.8478873048
G_23,186263.5735313069,447867.86509338726
G_24,186262.75269397403,447842.88229926827
H_1,186261.9318593862,447817.89950495464
H_2,186261.11102754204,447792.9167104408
H_3,186260.29019844197,447767.933915721
H_4,186259.469372087,447742.951120802
H_5,186258.64854847634,447717.9683256921
H_6,186257.82772760966,447692.9855303755
H_7,186257.00690948745,447668.0027348544
H_8,186256.18609410938,447643.01993914746
H_9,186255.36528147533,447618.03714321926
H_10,186254.5444715862,447593.0543470963
H_11,186253.72366444068,447568.07155078393
H_12,186252.90286003987,447543.08875425323
H_13,186252.08205838298,447518.10595753306
H_14,186251.26125947066,447493.12316060194
H_16,186244.3366759072,448043.56550467754
H_17,186243.5158191663,448018.5827092061
H_18,186242.69496516965,447993.5999135316
H_19,186241.87411391665,447968.6171176678
H_20,186241.05326540768,447943.63432160334
H_21,186240.23241964343,447918.65152533737
H_22,186239.411576623,447893.66872888134
H_23,186238.59073634725,447868.6859322184
H_24,186237.76989881555,447843.7031353568
I_1,186236.94906402746,447818.72033829027
I_2,186236.12823198395,447793.7375410332
I_3,186235.30740268456,447768.7547435743
I_4,186234.48657612893,447743.77194591204
I_5,186233.6657523178,447718.7891480457
I_6,186232.8449312505,447693.8063499865
I_7,186232.02411292755,447668.823551725
I_8,186231.2032973485,447643.8407532716
I_9,186230.38248451418,447618.8579545981
I_10,186229.56167442337,447593.875155735
I_11,186228.74086707685,447568.8923566709
I_12,186227.92006247377,447543.90955740795
I_13,186227.09926061553,447518.9267579332
I_14,186226.278461501,447493.94395826774
I_15,186225.45766513105,447468.96115839214
I_16,186219.35387959384,448044.3863629087
I_17,186218.53302265474,448019.40356469265
I_18,186217.71216845934,447994.4207662743
I_19,186216.89131700833,447969.43796767085
I_20,186216.07046830072,447944.45516886003
I_21,186215.24962233807,447919.4723698512
I_22,186214.42877911837,447894.4895706411
I_23,186213.60793864334,447869.5067712381
I_24,186212.787100912,447844.52397163335
J_1,186211.96626592486,447819.54117182374
J_2,186211.14543368114,447794.5583718235
J_3,186210.3246041822,447769.5755716211
J_4,186209.5037774263,447744.5927712157
J_5,186208.68295341491,447719.60997060774
J_6,186207.86213214768,447694.6271698033
J_7,186207.0413136241,447669.64436879795
J_8,186206.22049784378,447644.66156758624
J_9,186205.39968480798,447619.6787661891
J_10,186204.578874516,447594.69596457866
J_11,186203.7580669684,447569.7131627683
J_12,186202.93726216423,447544.7303607527
J_13,186202.11646010354,447519.7475585427
J_14,186201.29566078735,447494.7647561246
J_15,186200.4748642152,447469.78195350454
J_16,186194.3710805355,448045.2072213426
J_17,186193.5502233989,448020.2244203828
J_18,186192.7293690051,447995.2416192246
J_19,186191.908517356,447970.2588178629
J_20,186191.0876684501,447945.2760163119
J_21,186190.2668222881,447920.29321455903
J_22,186189.4459788697,447895.3104126133
J_23,186188.62513819546,447870.3276104578
J_24,186187.80430026478,447845.34480810654
K_1,186186.9834650784,447820.36200556665
K_2,186186.16263263483,447795.3792028139
K_3,186185.3418029362,447770.39639986714
K_4,186184.52097598038,447745.4135967184
K_5,186183.70015176872,447720.43079337454
K_6,186182.87933030058,447695.44798981654
K_7,186182.0585115761,447670.465186064
K_8,186181.23769559537,447645.4823821253
K_9,186180.4168823583,447620.4995779657
K_10,186179.59607186558,447595.51677361416
K_11,186178.77526411586,447570.5339690704
K_12,186177.95445911042,447545.55116430414
K_13,186177.1336568478,447520.56835935474
K_14,186176.31285732973,447495.5855541884
K_15,186170.20913881256,448071.01088347385
K_16,186169.38827873382,448046.0280799612
K_17,186168.56742139935,448021.04527625884
K_18,186167.74656680776,447996.0624723677
K_19,186166.9257149595,447971.0796682589
K_20,186166.10486585545,447946.0968639654
K_21,186165.284019495,447921.1140594658
K_22,186164.46317587773,447896.1312547783
K_23,186163.64233500377,447871.1484498867
K_24,186162.82149687439,447846.16564479575
L_1,186162.000661488,447821.1828394975
L_2,186161.179828845,447796.20003400865
L_3,186160.3589989462,447771.21722831664
L_4,186159.5381717907,447746.2344224219
L_5,186158.71734737838,447721.25161632494
L_6,186157.89652570974,447696.26881003054
L_7,186157.07570678482,447671.28600353806
L_8,186156.25489060307,447646.3031968484
L_9,186155.43407716556,447621.32038995775
L_10,186154.61326647125,447596.3375828606
L_11,186153.7924585201,447571.3547755561
L_12,186152.971653313,447546.3719680651
L_13,186152.150850849,447521.38916036056
L_14,186151.33005112808,447496.40635245753
L_15,186145.2263344655,448071.83174503926
L_16,186144.40547418865,448046.84893879597
L_17,186143.584616656,448021.8661323484
L_18,186142.7637618659,447996.8833257015
L_19,186141.94290981969,447971.90051886096
L_20,186141.12206051694,447946.91771182016
L_21,186140.3012139573,447921.93490457756
L_22,186139.48037014165,447896.95209714415
L_23,186138.65952906944,447871.9692895074
L_24,186137.83869073945,447846.986481665
M_1,186137.01785515426,447822.0036736244
M_2,186136.19702231156,447797.0208653947
M_3,186135.37619221257,447772.03805696854
M_4,186134.55536485693,447747.05524832546
M_5,186133.73454024448,447722.0724394937
M_6,186132.91371837578,447697.0896304531
M_7,186132.09289925016,447672.10682121484
M_8,186131.27208286722,447647.12401177833
M_9,186130.45126922854,447622.14120214153
M_10,186129.63045833286,447597.1583922954
M_11,186128.80965018063,447572.1755822617
M_12,186127.9888447718,447547.19277201826
M_13,186127.16804210603,447522.20996157045
M_14,186120.24352737438,448072.65260680666
M_15,186119.4226669,448047.66979781433
M_16,186118.60180916908,448022.68698862434
M_17,186117.78095418127,447997.70417923946
M_18,186116.96010193703,447972.7213696556
M_19,186116.13925243562,447947.738559866
M_20,186115.31840567704,447922.75574989145
M_21,186114.497561662,447897.77293970954
M_22,186113.67672039053,447872.7901293257
M_23,186112.85588186205,447847.8073187404
M_24,186112.03504607687,447822.8245079665
N_1,186111.2142130345,447797.8416969851
N_2,186110.3933827358,447772.8588858094
N_3,186109.57255517974,447747.87607442244
N_4,186108.75173036708,447722.8932628468
N_5,186107.93090829803,447697.9104510708
N_6,186107.11008897144,447672.927639094
N_7,186106.28927238836,447647.9448269168
N_8,186105.46845854825,447622.96201452945
N_9,186104.64764745132,447597.9792019504
N_10,186103.82683909763,447572.9963891697
N_11,186103.00603348695,447548.01357617637
N_12,186102.1852306199,447523.030762995
N_13,186096.0815809551,448098.4562803052
N_14,186095.26071754066,448073.47346876666
N_15,186094.4398568683,448048.49065704196
N_16,186093.61899893897,448023.50784509996
N_17,186092.79814375343,447998.52503297094
N_18,186091.97729131073,447973.5422206373
N_19,186091.15644161016,447948.5594081174
N_20,186090.33559465356,447923.57659539056
N_21,186089.51475043964,447898.59378246486
N_22,186088.69390896926,447873.6109693479
N_23,186087.87307024142,447848.62815601495
N_24,186087.0522342561,447823.6453425019
O_1,186086.23140101437,447798.6625287736
O_2,186085.41057051584,447773.6797148534
O_3,186084.58974275977,447748.69690072985
O_4,186083.7689177472,447723.7140864154
O_5,186082.94809547713,447698.7312718862
O_6,186082.1272759502,447673.7484571731
O_7,186081.306459166,447648.76564224507
O_8,186080.48564512486,447623.78282712144
O_9,186079.66483382697,447598.8000117942
O_10,186078.84402527177,447573.81719626585
O_11,186078.0232194596,447548.8343805384
O_12,186077.20241639065,447523.8515646063
O_13,186071.0987685761,448099.2771452091
O_14,186070.27790496344,448074.2943309372
O_15,186069.4570440931,448049.31151645037
O_16,186068.63618596637,448024.32870177255
O_17,186067.81533058215,447999.3458869063
O_18,186066.99447794078,447974.3630718298
O_19,186066.1736280425,447949.38025655836
O_20,186065.35278088675,447924.39744109754
