est_method,cp_time,dets,error,habitat
knn,20,221,42,5
knn,20,261,17,5
knn,20,261,26,5
knn,20,261,17,5
knn,20,159,37,4
knn,20,159,42,4
knn,20,159,123,4
knn,20,118,34,3
knn,20,118,67,3
knn,20,118,132,3
knn,20,109,30,4
knn,20,109,83,4
knn,20,109,314,4
knn,20,127,35,4
knn,20,127,138,4
knn,20,127,56,4
knn,20,106,45,4
knn,20,106,83,4
knn,20,106,49,4
knn,20,100,79,3
knn,20,100,49,3
knn,20,100,183,3
knn,20,79,53,4
knn,20,79,143,4
knn,20,79,105,4
knn,20,103,19,4
knn,20,103,137,4
knn,20,103,194,4
knn,20,116,42,4
knn,20,116,116,4
knn,20,116,168,4
knn,20,100,45,4
knn,20,100,142,4
knn,20,100,148,4
knn,20,115,169,4
knn,20,115,107,4
knn,20,115,90,4
knn,20,125,162,4
knn,20,125,34,4
knn,20,125,51,4
knn,20,100,116,5
knn,20,100,30,5
knn,20,100,72,5
knn,20,91,142,5
knn,20,91,25,5
knn,20,91,45,5
knn,20,108,41,5
knn,20,108,48,5
knn,20,108,82,5
knn,20,92,42,4
knn,20,92,37,4
knn,20,92,30,4
knn,20,154,157,4
knn,20,154,59,4
knn,20,154,42,4
knn,20,72,142,5
knn,20,72,24,5
knn,20,72,271,5
knn,20,138,153,4
knn,20,138,45,4
knn,20,138,35,4
knn,20,105,171,4
knn,20,105,166,4
knn,20,105,101,4
knn,20,172,132,5
knn,20,172,33,5
knn,20,172,42,5
knn,20,150,112,4
knn,20,150,8,4
knn,20,150,26,4
knn,20,128,164,4
knn,20,128,25,4
knn,20,128,113,4
knn,20,133,144,4
knn,20,133,19,4
knn,20,133,42,4
knn,20,106,134,4
knn,20,106,129,4
knn,20,106,45,4
knn,20,117,225,4
knn,20,117,61,4
knn,20,117,53,4
knn,20,120,201,4
knn,20,120,25,4
knn,20,120,12,4
knn,20,85,190,5
knn,20,85,53,5
knn,20,85,45,5
knn,20,106,19,4
knn,20,106,45,4
knn,20,106,53,4
knn,20,79,26,4
knn,20,79,175,4
knn,20,79,35,4
knn,20,99,30,4
knn,20,99,19,4
knn,20,99,17,4
knn,20,79,42,2
knn,20,79,86,2
knn,20,79,23,2
knn,20,108,8,2
knn,20,108,59,2
knn,20,108,34,2
knn,20,92,47,4
knn,20,92,92,4
knn,20,92,37,4
knn,20,92,24,4
knn,20,92,50,4
knn,20,92,8,4
knn,20,112,24,4
knn,20,112,24,4
knn,20,112,42,4
knn,20,147,42,4
knn,20,147,37,4
knn,20,147,17,4
knn,20,105,42,4
knn,20,105,19,4
knn,20,105,332,4
knn,20,114,146,4
knn,20,114,60,4
knn,20,114,58,4
knn,20,87,228,4
knn,20,87,79,4
knn,20,87,106,4
knn,20,127,30,4
knn,20,127,82,4
knn,20,127,118,4
knn,20,120,42,4
knn,20,120,116,4
knn,20,120,110,4
knn,20,156,152,4
knn,20,156,56,4
knn,20,156,110,4
knn,20,156,51,4
knn,20,156,61,4
knn,20,156,49,4
knn,20,90,34,4
knn,20,90,250,4
knn,20,90,255,4
knn,20,124,50,4
knn,20,124,61,4
knn,20,124,33,4
knn,20,55,101,4
knn,20,55,205,4
knn,20,55,216,4
knn,20,91,157,4
knn,20,91,93,4
knn,20,91,97,4
knn,20,194,35,3
knn,20,194,47,3
knn,20,194,12,3
knn,20,128,25,4
knn,20,128,34,4
knn,20,128,34,4
knn,20,194,8,4
knn,20,194,8,4
knn,20,194,43,4
knn,20,128,59,2
knn,20,128,34,2
knn,20,128,34,2
knn,20,137,12,2
knn,20,137,19,2
knn,20,137,33,2
knn,20,134,37,2
knn,20,134,53,2
knn,20,134,72,2
knn,20,183,25,2
knn,20,183,79,2
knn,20,183,77,2
knn,20,140,42,4
knn,20,140,12,4
knn,20,140,45,4
knn,20,185,26,4
knn,20,185,12,4
knn,20,185,12,4
knn,20,173,26,4
knn,20,173,26,4
knn,20,173,42,4
knn,20,207,42,3
knn,20,207,17,3
knn,20,207,23,3
knn,20,226,79,3
knn,20,226,30,3
knn,20,226,18,3
knn,20,142,84,4
knn,20,142,37,4
knn,20,142,85,4
knn,20,212,24,4
knn,20,212,59,4
knn,20,212,45,4
knn,20,196,37,4
knn,20,196,30,4
knn,20,196,69,4
knn,20,158,17,4
knn,20,158,59,4
knn,20,158,34,4
knn,20,196,60,4
knn,20,196,56,4
knn,20,196,56,4
knn,20,209,17,3
knn,20,209,42,3
knn,20,209,17,3
knn,20,208,17,3
knn,20,208,59,3
knn,20,208,42,3
knn,20,184,19,4
knn,20,184,17,4
knn,20,184,65,4
knn,20,152,53,5
knn,20,152,58,5
knn,20,152,53,5
knn,20,176,77,5
knn,20,176,24,5
knn,20,176,37,5
knn,20,138,126,4
knn,20,138,75,4
knn,20,138,24,4
knn,20,120,42,4
knn,20,120,26,4
knn,20,120,51,4
knn,20,197,26,4
knn,20,197,19,4
knn,20,197,53,4
knn,20,141,58,4
knn,20,141,79,4
knn,20,141,37,4
knn,20,155,34,2
knn,20,155,50,2
knn,20,155,30,2
knn,20,127,71,1
knn,20,127,56,1
knn,20,127,37,1
knn,20,138,24,1
knn,20,138,35,1
knn,20,138,24,1
knn,20,125,75,1
knn,20,125,17,1
knn,20,125,61,1
knn,20,92,247,4
knn,20,92,45,4
knn,20,92,50,4
knn,20,146,33,5
knn,20,146,33,5
knn,20,146,12,5
knn,20,84,181,4
knn,20,84,35,4
knn,20,84,59,4
knn,20,165,71,4
knn,20,165,37,4
knn,20,165,67,4
knn,20,167,56,5
knn,20,167,53,5
knn,20,167,25,5
knn,20,128,48,5
knn,20,128,26,5
knn,20,128,251,5
knn,20,185,127,5
knn,20,185,56,5
knn,20,185,17,5
knn,20,129,500,2
knn,20,129,93,2
knn,20,129,42,2
knn,20,169,69,2
knn,20,169,12,2
knn,20,169,116,2
knn,20,183,186,2
knn,20,183,12,2
knn,20,183,43,2
knn,20,167,67,2
knn,20,167,362,2
knn,20,167,42,2
knn,20,186,45,5
knn,20,186,37,5
knn,20,186,74,5
knn,20,184,67,4
knn,20,184,30,4
knn,20,184,49,4
knn,20,140,129,5
knn,20,140,33,5
knn,20,140,42,5
knn,20,153,12,5
knn,20,153,8,5
knn,20,153,67,5
knn,20,184,53,3
knn,20,184,37,3
knn,20,184,61,3
knn,20,151,53,3
knn,20,151,34,3
knn,20,151,26,3
knn,20,116,0,3
knn,20,116,35,3
knn,20,116,25,3
knn,20,320,100,4
knn,20,320,108,4
knn,20,320,51,4
knn,20,168,51,4
knn,20,168,35,4
knn,20,168,24,4
knn,20,171,26,2
knn,20,171,19,2
knn,20,171,35,2
knn,20,201,8,3
knn,20,201,35,3
knn,20,201,12,3
knn,20,199,12,2
knn,20,199,8,2
knn,20,199,34,2
knn,20,155,56,2
knn,20,155,33,2
knn,20,155,139,2
knn,20,198,17,2
knn,20,198,50,2
knn,20,198,71,2
knn,20,163,60,4
knn,20,163,12,4
knn,20,163,26,4
knn,20,174,43,4
knn,20,174,19,4
knn,20,174,118,4
knn,20,392,93,4
knn,20,392,75,4
knn,20,392,69,4
knn,20,217,56,4
knn,20,217,53,4
knn,20,217,17,4
knn,20,131,67,4
knn,20,131,19,4
knn,20,131,51,4
knn,20,106,37,4
knn,20,106,75,4
knn,20,106,156,4
knn,20,165,67,2
knn,20,165,8,2
knn,20,165,65,2
knn,20,144,118,2
knn,20,144,37,2
knn,20,144,82,2
knn,20,139,112,2
knn,20,139,90,2
knn,20,139,8,2
knn,20,104,97,1
knn,20,104,25,1
knn,20,104,112,1
knn,20,137,85,1
knn,20,137,26,1
knn,20,137,33,1
knn,20,123,0,5
knn,20,123,25,5
knn,20,123,9,5
knn,20,120,8,5
knn,20,120,25,5
knn,20,120,34,5
knn,20,102,49,5
knn,20,102,56,5
knn,20,102,65,5
knn,20,177,92,2
knn,20,177,69,2
knn,20,177,84,2
knn,20,172,19,3
knn,20,172,60,3
knn,20,172,82,3
knn,20,163,30,2
knn,20,163,19,2
knn,20,163,154,2
knn,20,142,150,3
knn,20,142,47,3
knn,20,142,8,3
knn,20,161,56,3
knn,20,161,33,3
knn,20,161,12,3
knn,20,198,30,3
knn,20,198,17,3
knn,20,198,42,3
knn,20,192,19,4
knn,20,192,30,4
knn,20,192,51,4
knn,20,197,8,2
knn,20,197,30,2
knn,20,197,23,2
knn,20,142,8,4
knn,20,142,0,4
knn,20,142,199,4
knn,20,162,8,5
knn,20,162,17,5
knn,20,162,26,5
knn,20,178,132,5
knn,20,178,26,5
knn,20,178,34,5
knn,20,164,172,4
knn,20,164,34,4
knn,20,164,148,4
knn,20,170,108,3
knn,20,170,53,3
knn,20,170,85,3
knn,20,158,25,3
knn,20,158,37,3
knn,20,158,42,3
knn,20,133,69,2
knn,20,133,118,2
knn,20,133,8,2
knn,20,154,37,2
knn,20,154,49,2
knn,20,154,24,2
knn,20,189,50,1
knn,20,189,24,1
knn,20,189,35,1
knn,20,142,45,3
knn,20,142,8,3
knn,20,142,27,3
knn,20,164,19,3
knn,20,164,71,3
knn,20,164,17,3
knn,20,191,30,1
knn,20,191,42,1
knn,20,191,17,1
knn,20,436,60,2
knn,20,436,67,2
knn,20,436,30,2
knn,20,141,43,2
knn,20,141,101,2
knn,20,141,33,2
knn,20,180,19,1
knn,20,180,35,1
knn,20,180,25,1
knn,20,195,19,3
knn,20,195,37,3
knn,20,195,19,3
knn,20,197,17,3
knn,20,197,17,3
knn,20,197,17,3
knn,20,206,24,2
knn,20,206,49,2
knn,20,206,24,2
knn,20,193,8,2
knn,20,193,37,2
knn,20,193,12,2
knn,20,181,17,4
knn,20,181,25,4
knn,20,181,24,4
knn,20,154,37,4
knn,20,154,215,4
knn,20,154,12,4
knn,20,174,8,4
knn,20,174,130,4
knn,20,174,26,4
knn,20,169,23,2
knn,20,169,19,2
knn,20,169,25,2
knn,20,178,37,2
knn,20,178,95,2
knn,20,178,8,2
knn,20,169,50,4
knn,20,169,42,4
knn,20,169,50,4
knn,20,158,53,2
knn,20,158,47,2
knn,20,158,79,2
knn,20,312,29,2
knn,20,312,33,2
knn,20,312,17,2
knn,20,334,41,2
knn,20,334,26,2
knn,20,334,37,2
knn,20,145,105,5
knn,20,145,45,5
knn,20,145,65,5
knn,20,128,30,5
knn,20,128,25,5
knn,20,128,60,5
knn,20,93,643,4
knn,20,93,35,4
knn,20,93,33,4
knn,20,193,56,4
knn,20,193,35,4
knn,20,193,12,4
knn,20,169,87,4
knn,20,169,61,4
knn,20,169,56,4
knn,20,353,59,4
knn,20,353,67,4
knn,20,353,35,4
knn,20,168,90,4
knn,20,168,26,4
knn,20,168,117,4
knn,20,123,389,3
knn,20,123,42,3
knn,20,123,30,3
knn,20,136,160,3
knn,20,136,19,3
knn,20,136,12,3
knn,20,191,81,3
knn,20,191,17,3
knn,20,191,43,3
knn,20,187,59,3
knn,20,187,19,3
knn,20,187,24,3
knn,20,116,153,5
knn,20,116,49,5
knn,20,116,24,5
knn,20,189,75,4
knn,20,189,19,4
knn,20,189,42,4
knn,20,199,51,3
knn,20,199,37,3
knn,20,199,49,3
knn,20,198,108,3
knn,20,198,17,3
knn,20,198,17,3
knn,20,202,61,3
knn,20,202,12,3
knn,20,202,37,3
knn,20,209,8,4
knn,20,209,24,4
knn,20,209,25,4
knn,20,185,49,2
knn,20,185,26,2
knn,20,185,25,2
knn,20,189,34,2
knn,20,189,34,2
knn,20,189,42,2
knn,20,168,25,2
knn,20,168,17,2
knn,20,168,71,2
knn,20,177,69,4
knn,20,177,34,4
knn,20,177,19,4
knn,20,168,42,1
knn,20,168,12,1
knn,20,168,17,1
knn,20,150,41,2
knn,20,150,30,2
knn,20,150,37,2
knn,20,124,85,2
knn,20,124,37,2
knn,20,124,33,2
knn,20,143,35,2
knn,20,143,24,2
knn,20,143,24,2
knn,20,191,42,2
knn,20,191,42,2
knn,20,191,34,2
knn,20,194,26,2
knn,20,194,42,2
knn,20,194,60,2
knn,20,188,59,2
knn,20,188,45,2
knn,20,188,108,2
knn,20,150,34,2
knn,20,150,30,2
knn,20,150,83,2
knn,20,149,42,2
knn,20,149,42,2
knn,20,149,254,2
knn,20,214,37,2
knn,20,214,30,2
knn,20,214,53,2
knn,20,201,37,2
knn,20,201,25,2
knn,20,201,33,2
knn,20,205,63,2
knn,20,205,24,2
knn,20,205,64,2
knn,20,181,291,1
knn,20,181,26,1
knn,20,181,26,1
knn,20,229,42,2
knn,20,229,26,2
knn,20,229,42,2
knn,20,201,116,4
knn,20,201,12,4
knn,20,201,12,4
knn,20,198,26,2
knn,20,198,53,2
knn,20,198,17,2
knn,20,206,17,2
knn,20,206,45,2
knn,20,206,17,2
knn,20,201,12,3
knn,20,201,18,3
knn,20,201,42,3
knn,20,184,53,3
knn,20,184,12,3
knn,20,184,17,3
knn,20,136,97,3
knn,20,136,61,3
knn,20,136,35,3
knn,20,201,50,1
knn,20,201,47,1
knn,20,201,50,1
knn,20,163,17,1
knn,20,163,26,1
knn,20,163,24,1
knn,20,181,50,3
knn,20,181,60,3
knn,20,181,19,3
knn,20,187,30,1
knn,20,187,19,1
knn,20,187,34,1
knn,20,135,17,4
knn,20,135,12,4
knn,20,135,12,4
knn,20,157,24,4
knn,20,157,26,4
knn,20,157,26,4
knn,20,134,25,4
knn,20,134,30,4
knn,20,134,50,4
knn,20,164,24,2
knn,20,164,51,2
knn,20,164,53,2
knn,20,179,19,5
knn,20,179,59,5
knn,20,179,101,5
knn,20,215,17,2
knn,20,215,42,2
knn,20,215,125,2
knn,20,178,69,2
knn,20,178,49,2
knn,20,178,59,2
knn,20,237,8,2
knn,20,237,37,2
knn,20,237,26,2
knn,20,165,9,2
knn,20,165,56,2
knn,20,165,19,2
knn,20,187,24,2
knn,20,187,423,2
knn,20,187,17,2
knn,20,224,45,2
knn,20,224,53,2
knn,20,224,19,2
knn,20,251,12,2
knn,20,251,26,2
knn,20,251,33,2
knn,20,252,16,2
knn,20,252,12,2
knn,20,252,42,2
knn,20,208,24,4
knn,20,208,35,4
knn,20,208,24,4
knn,20,232,19,3
knn,20,232,17,3
knn,20,232,35,3
knn,20,261,8,3
knn,20,261,56,3
knn,20,261,17,3
knn,20,194,50,3
knn,20,194,56,3
knn,20,194,0,3
knn,20,195,24,3
knn,20,195,30,3
knn,20,195,30,3
knn,20,154,12,3
knn,20,154,79,3
knn,20,154,365,3
knn,20,217,35,3
knn,20,217,12,3
knn,20,217,17,3
knn,20,181,24,1
knn,20,181,35,1
knn,20,181,24,1
knn,20,160,24,1
knn,20,160,12,1
knn,20,160,25,1
knn,20,205,143,2
knn,20,205,12,2
knn,20,205,19,2
knn,20,120,92,5
knn,20,120,50,5
knn,20,120,42,5
knn,20,132,60,5
knn,20,132,25,5
knn,20,132,26,5
knn,20,131,102,5
knn,20,131,30,5
knn,20,131,12,5
knn,20,143,86,4
knn,20,143,17,4
knn,20,143,8,4
knn,20,178,101,3
knn,20,178,25,3
knn,20,178,12,3
knn,20,193,8,4
knn,20,193,12,4
knn,20,193,42,4
knn,20,170,113,2
knn,20,170,8,2
knn,20,170,26,2
knn,20,240,30,2
knn,20,240,30,2
knn,20,240,26,2
knn,20,159,211,4
knn,20,159,34,4
knn,20,159,82,4
knn,20,198,8,3
knn,20,198,26,3
knn,20,198,60,3
knn,20,164,191,2
knn,20,164,79,2
knn,20,164,26,2
knn,20,153,200,2
knn,20,153,43,2
knn,20,153,0,2
knn,20,177,111,3
knn,20,177,53,3
knn,20,177,33,3
knn,20,191,108,3
knn,20,191,24,3
knn,20,191,12,3
knn,20,153,35,2
knn,20,153,30,2
knn,20,153,42,2
knn,20,149,25,2
knn,20,149,51,2
knn,20,149,24,2
knn,20,162,34,3
knn,20,162,17,3
knn,20,162,25,3
knn,20,148,12,4
knn,20,148,37,4
knn,20,148,12,4
knn,20,137,12,4
knn,20,137,60,4
knn,20,137,26,4
knn,20,172,12,4
knn,20,172,68,4
knn,20,172,50,4
knn,20,164,26,3
knn,20,164,26,3
knn,20,164,25,3
knn,20,202,26,3
knn,20,202,53,3
knn,20,202,19,3
knn,20,155,61,2
knn,20,155,58,2
knn,20,155,12,2
knn,20,258,18,3
knn,20,258,17,3
knn,20,258,8,3
knn,20,163,134,3
knn,20,163,43,3
knn,20,163,110,3
knn,20,186,25,3
knn,20,186,195,3
knn,20,186,19,3
knn,20,189,43,2
knn,20,189,37,2
knn,20,189,45,2
knn,20,153,51,2
knn,20,153,43,2
knn,20,153,30,2
knn,20,103,164,3
knn,20,103,45,3
knn,20,103,26,3
knn,20,150,25,3
knn,20,150,130,3
knn,20,150,26,3
knn,20,170,51,1
knn,20,170,33,1
knn,20,170,45,1
knn,20,94,34,4
knn,20,94,67,4
knn,20,94,67,4
knn,20,181,56,3
knn,20,181,45,3
knn,20,181,45,3
knn,20,118,19,4
knn,20,118,51,4
knn,20,118,17,4
knn,20,164,42,4
knn,20,164,56,4
knn,20,164,30,4
knn,20,167,53,4
knn,20,167,92,4
knn,20,167,12,4
knn,20,152,30,4
knn,20,152,93,4
knn,20,152,45,4
knn,20,155,48,3
knn,20,155,30,3
knn,20,155,33,3
knn,20,212,34,3
knn,20,212,24,3
knn,20,212,45,3
knn,20,219,26,3
knn,20,219,26,3
knn,20,219,26,3
knn,20,170,56,3
knn,20,170,146,3
knn,20,170,35,3
knn,20,197,53,3
knn,20,197,59,3
knn,20,197,12,3
knn,20,181,51,3
knn,20,181,33,3
knn,20,181,110,3
knn,20,183,19,2
knn,20,183,143,2
knn,20,183,84,2
knn,20,149,41,3
knn,20,149,43,3
knn,20,149,134,3
knn,20,213,26,4
knn,20,213,85,4
knn,20,213,19,4
knn,20,192,42,3
knn,20,192,30,3
knn,20,192,30,3
knn,20,168,47,3
knn,20,168,19,3
knn,20,168,19,3
knn,20,166,42,3
knn,20,166,64,3
knn,20,166,63,3
knn,20,205,83,3
knn,20,205,24,3
knn,20,205,30,3
knn,20,165,8,1
knn,20,165,203,1
knn,20,165,12,1
knn,20,168,71,1
knn,20,168,75,1
knn,20,168,61,1
knn,20,129,53,4
knn,20,129,26,4
knn,20,129,12,4
knn,20,191,26,1
knn,20,191,26,1
knn,20,191,18,1
knn,20,172,206,4
knn,20,172,12,4
knn,20,172,19,4
knn,20,228,36,3
knn,20,228,19,3
knn,20,228,56,3
knn,20,228,34,3
knn,20,228,60,3
knn,20,228,54,3
knn,20,251,30,3
knn,20,251,34,3
knn,20,251,71,3
knn,20,197,45,3
knn,20,197,117,3
knn,20,197,67,3
knn,20,235,42,2
knn,20,235,69,2
knn,20,235,77,2
knn,20,230,26,1
knn,20,230,66,1
knn,20,230,26,1
knn,20,240,19,1
knn,20,240,19,1
knn,20,240,51,1
knn,20,207,30,2
knn,20,207,50,2
knn,20,207,97,2
knn,20,196,37,1
knn,20,196,37,1
knn,20,196,12,1
knn,20,231,59,2
knn,20,231,34,2
knn,20,231,45,2
knn,20,180,30,2
knn,20,180,65,2
knn,20,180,26,2
knn,20,124,12,2
knn,20,124,12,2
knn,20,124,105,2
knn,20,211,17,1
knn,20,211,35,1
knn,20,211,26,1
knn,20,154,53,1
knn,20,154,35,1
knn,20,154,222,1
knn,20,91,37,4
knn,20,91,74,4
knn,20,91,34,4
knn,20,162,8,4
knn,20,162,8,4
knn,20,162,26,4
knn,20,122,47,4
knn,20,122,58,4
knn,20,122,18,4
knn,20,133,84,5
knn,20,133,49,5
knn,20,133,34,5
knn,20,197,59,4
knn,20,197,60,4
knn,20,197,42,4
knn,20,161,41,2
knn,20,161,79,2
knn,20,161,687,2
knn,20,95,17,3
knn,20,95,25,3
knn,20,95,25,3
knn,20,239,53,4
knn,20,239,30,4
knn,20,239,71,4
knn,20,258,24,4
knn,20,258,37,4
knn,20,258,64,4
knn,20,194,12,4
knn,20,194,37,4
knn,20,194,37,4
knn,20,144,59,4
knn,20,144,30,4
knn,20,144,25,4
knn,20,249,24,5
knn,20,249,51,5
knn,20,249,34,5
knn,20,279,43,4
knn,20,279,58,4
knn,20,279,83,4
knn,20,314,17,4
knn,20,314,26,4
knn,20,314,58,4
knn,20,181,17,4
knn,20,181,12,4
knn,20,181,17,4
knn,20,183,56,4
knn,20,183,35,4
knn,20,183,71,4
knn,20,158,61,3
knn,20,158,34,3
knn,20,158,422,3
knn,20,201,53,3
knn,20,201,51,3
knn,20,201,33,3
knn,20,151,128,1
knn,20,151,48,1
knn,20,151,17,1
knn,20,176,19,3
knn,20,176,103,3
knn,20,176,51,3
knn,20,147,37,4
knn,20,147,116,4
knn,20,147,72,4
knn,20,199,42,1
knn,20,199,53,1
knn,20,199,50,1
knn,20,153,67,1
knn,20,153,9,1
knn,20,153,68,1
knn,20,189,12,2
knn,20,189,12,2
knn,20,189,77,2
knn,20,103,17,2
knn,20,103,37,2
knn,20,103,30,2
knn,20,131,19,4
knn,20,131,30,4
knn,20,131,8,4
knn,20,147,33,4
knn,20,147,19,4
knn,20,147,24,4
knn,20,128,8,1
knn,20,128,17,1
knn,20,128,8,1
knn,20,171,8,1
knn,20,171,18,1
knn,20,171,17,1
knn,20,140,19,4
knn,20,140,45,4
knn,20,140,56,4
knn,20,85,19,4
knn,20,85,204,4
knn,20,85,171,4
knn,20,138,24,4
knn,20,138,18,4
knn,20,138,8,4
knn,20,123,37,4
knn,20,123,17,4
knn,20,123,207,4
knn,20,135,53,4
knn,20,135,18,4
knn,20,135,26,4
knn,20,106,8,1
knn,20,106,640,1
knn,20,106,42,1
knn,20,102,60,4
knn,20,102,45,4
knn,20,102,51,4
knn,20,129,37,4
knn,20,129,17,4
knn,20,129,51,4
knn,20,111,50,4
knn,20,111,37,4
knn,20,111,37,4
knn,20,136,12,1
knn,20,136,17,1
knn,20,136,12,1
knn,20,168,26,1
knn,20,168,71,1
knn,20,168,30,1
knn,20,123,50,4
knn,20,123,50,4
knn,20,123,50,4
knn,20,133,116,4
knn,20,133,26,4
knn,20,133,17,4
knn,20,102,16,4
knn,20,102,17,4
knn,20,102,8,4
knn,20,128,12,4
knn,20,128,50,4
knn,20,128,12,4
knn,20,135,35,4
knn,20,135,19,4
knn,20,135,75,4
knn,25,112,41,4
knn,25,112,30,4
knn,25,112,33,4
knn,25,145,45,5
knn,25,145,109,5
knn,25,145,77,5
knn,25,153,90,5
knn,25,153,42,5
knn,25,153,108,5
knn,25,122,49,4
knn,25,122,71,4
knn,25,122,50,4
knn,25,82,24,4
knn,25,82,35,4
knn,25,82,42,4
knn,25,83,77,4
knn,25,83,34,4
knn,25,83,60,4
knn,25,118,109,4
knn,25,118,95,4
knn,25,118,49,4
knn,25,81,53,4
knn,25,81,30,4
knn,25,81,35,4
knn,25,88,25,4
knn,25,88,34,4
knn,25,88,53,4
knn,25,106,30,4
knn,25,106,51,4
knn,25,106,8,4
knn,25,125,26,4
knn,25,125,71,4
knn,25,125,35,4
knn,25,85,42,4
knn,25,85,34,4
knn,25,85,8,4
knn,25,88,30,4
knn,25,88,65,4
knn,25,88,34,4
knn,25,112,51,3
knn,25,112,30,3
knn,25,112,42,3
knn,25,116,17,3
knn,25,116,25,3
knn,25,116,30,3
knn,25,99,12,3
knn,25,99,26,3
knn,25,99,8,3
knn,25,159,42,4
knn,25,159,49,4
knn,25,159,87,4
knn,25,97,43,1
knn,25,97,59,1
knn,25,97,34,1
knn,25,130,8,4
knn,25,130,26,4
knn,25,130,45,4
knn,25,160,17,4
knn,25,160,42,4
knn,25,160,19,4
knn,25,184,50,4
knn,25,184,26,4
knn,25,184,26,4
knn,25,74,37,4
knn,25,74,67,4
knn,25,74,35,4
knn,25,75,59,4
knn,25,75,84,4
knn,25,75,0,4
knn,25,69,47,4
knn,25,69,159,4
knn,25,69,64,4
knn,25,53,67,3
knn,25,53,42,3
knn,25,53,37,3
knn,25,47,19,3
knn,25,47,61,3
knn,25,47,30,3
knn,25,65,60,3
knn,25,65,75,3
knn,25,65,74,3
knn,25,48,37,3
knn,25,48,37,3
knn,25,48,37,3
knn,25,78,56,4
knn,25,78,82,4
knn,25,78,69,4
knn,25,96,17,3
knn,25,96,17,3
knn,25,96,17,3
knn,25,126,26,4
knn,25,126,30,4
knn,25,126,0,4
knn,25,108,30,4
knn,25,108,35,4
knn,25,108,37,4
knn,25,129,34,4
knn,25,129,49,4
knn,25,129,45,4
knn,25,97,65,4
knn,25,97,92,4
knn,25,97,82,4
knn,25,109,59,4
knn,25,109,59,4
knn,25,109,13,4
knn,25,143,42,3
knn,25,143,175,3
knn,25,143,51,3
knn,25,80,26,3
knn,25,80,94,3
knn,25,80,43,3
knn,25,91,35,3
knn,25,91,111,3
knn,25,91,43,3
knn,25,135,24,5
knn,25,135,37,5
knn,25,135,117,5
knn,25,82,17,5
knn,25,82,42,5
knn,25,82,24,5
knn,25,84,26,4
knn,25,84,53,4
knn,25,84,51,4
knn,25,64,8,4
knn,25,64,71,4
knn,25,64,92,4
knn,25,94,8,4
knn,25,94,34,4
knn,25,94,26,4
knn,25,120,24,1
knn,25,120,100,1
knn,25,120,34,1
knn,25,47,17,4
knn,25,47,17,4
knn,25,47,17,4
knn,25,75,37,4
knn,25,75,30,4
knn,25,75,37,4
knn,25,106,101,5
knn,25,106,17,5
knn,25,106,33,5
knn,25,90,51,4
knn,25,90,34,4
knn,25,90,51,4
knn,25,90,75,4
knn,25,90,8,4
knn,25,90,400,4
knn,25,81,100,4
knn,25,81,12,4
knn,25,81,100,4
knn,25,155,42,1
knn,25,155,19,1
knn,25,155,35,1
knn,25,123,71,5
knn,25,123,119,5
knn,25,123,56,5
knn,25,99,77,5
knn,25,99,75,5
knn,25,99,51,5
knn,25,147,126,5
knn,25,147,8,5
knn,25,147,37,5
knn,25,101,135,5
knn,25,101,49,5
knn,25,101,8,5
knn,25,97,133,5
knn,25,97,24,5
knn,25,97,25,5
knn,25,96,111,5
knn,25,96,26,5
knn,25,96,35,5
knn,25,150,0,2
knn,25,150,77,2
knn,25,150,50,2
knn,25,104,37,4
knn,25,104,42,4
knn,25,104,26,4
knn,25,83,79,4
knn,25,83,24,4
knn,25,83,17,4
knn,25,86,17,4
knn,25,86,0,4
knn,25,86,26,4
knn,25,69,37,4
knn,25,69,53,4
knn,25,69,53,4
knn,25,137,34,4
knn,25,137,34,4
knn,25,137,35,4
knn,25,110,17,4
knn,25,110,8,4
knn,25,110,8,4
knn,25,143,24,4
knn,25,143,51,4
knn,25,143,51,4
knn,25,142,19,2
knn,25,142,59,2
knn,25,142,51,2
knn,25,152,19,4
knn,25,152,47,4
knn,25,152,56,4
knn,25,121,12,4
knn,25,121,77,4
knn,25,121,82,4
knn,25,136,8,4
knn,25,136,60,4
knn,25,136,56,4
knn,25,149,26,3
knn,25,149,112,3
knn,25,149,12,3
knn,25,139,42,2
knn,25,139,61,2
knn,25,139,53,2
knn,25,128,93,2
knn,25,128,72,2
knn,25,128,65,2
knn,25,87,42,2
knn,25,87,56,2
knn,25,87,47,2
knn,25,93,61,3
knn,25,93,42,3
knn,25,93,90,3
knn,25,100,42,4
knn,25,100,101,4
knn,25,100,37,4
knn,25,75,124,3
knn,25,75,108,3
knn,25,75,124,3
knn,25,163,53,5
knn,25,163,82,5
knn,25,163,26,5
knn,25,71,75,4
knn,25,71,77,4
knn,25,71,101,4
knn,25,80,12,4
knn,25,80,61,4
knn,25,80,77,4
knn,25,96,19,4
knn,25,96,25,4
knn,25,96,19,4
knn,25,99,61,4
knn,25,99,35,4
knn,25,99,60,4
knn,25,149,24,3
knn,25,149,24,3
knn,25,149,26,3
knn,25,136,25,5
knn,25,136,24,5
knn,25,136,24,5
knn,25,125,37,4
knn,25,125,26,4
knn,25,125,12,4
knn,25,153,30,4
knn,25,153,43,4
knn,25,153,26,4
knn,25,124,35,5
knn,25,124,69,5
knn,25,124,67,5
knn,25,144,17,4
knn,25,144,93,4
knn,25,144,17,4
knn,25,164,34,5
