est_method,cp_time,dets,error,habitat
knn,5,28,50,5
knn,5,28,214,5
knn,5,28,59,5
knn,5,39,8,4
knn,5,39,45,4
knn,5,39,74,4
knn,5,46,19,5
knn,5,46,346,5
knn,5,46,101,5
knn,5,35,104,5
knn,5,35,106,5
knn,5,35,42,5
knn,5,28,79,5
knn,5,28,118,5
knn,5,28,237,5
knn,5,22,79,5
knn,5,22,214,5
knn,5,22,126,5
knn,5,27,145,5
knn,5,27,139,5
knn,5,27,77,5
knn,5,22,112,4
knn,5,22,150,4
knn,5,22,77,4
knn,5,17,105,4
knn,5,17,156,4
knn,5,17,84,4
knn,5,40,113,5
knn,5,40,130,5
knn,5,40,53,5
knn,5,20,104,5
knn,5,20,112,5
knn,5,20,26,5
knn,5,19,50,5
knn,5,19,90,5
knn,5,19,87,5
knn,5,30,26,4
knn,5,30,33,4
knn,5,30,77,4
knn,5,25,56,4
knn,5,25,0,4
knn,5,25,47,4
knn,5,18,56,5
knn,5,18,56,5
knn,5,18,56,5
knn,5,26,24,4
knn,5,26,94,4
knn,5,26,83,4
knn,5,31,188,5
knn,5,31,24,5
knn,5,31,63,5
knn,5,32,59,5
knn,5,32,76,5
knn,5,32,51,5
knn,5,23,467,5
knn,5,23,110,5
knn,5,23,282,5
knn,5,31,59,4
knn,5,31,59,4
knn,5,31,77,4
knn,5,47,254,5
knn,5,47,42,5
knn,5,47,116,5
knn,5,39,101,5
knn,5,39,47,5
knn,5,39,90,5
knn,5,48,94,4
knn,5,48,89,4
knn,5,48,97,4
knn,5,46,167,4
knn,5,46,48,4
knn,5,46,72,4
knn,5,40,47,4
knn,5,40,56,4
knn,5,40,93,4
knn,5,34,119,4
knn,5,34,83,4
knn,5,34,197,4
knn,5,20,190,4
knn,5,20,60,4
knn,5,20,211,4
knn,5,20,56,4
knn,5,20,186,4
knn,5,27,104,4
knn,5,27,90,4
knn,5,27,147,4
knn,5,31,93,4
knn,5,31,77,4
knn,5,31,102,4
knn,5,21,113,4
knn,5,21,79,4
knn,5,21,104,4
knn,5,33,118,3
knn,5,33,171,3
knn,5,33,153,3
knn,5,22,84,4
knn,5,22,135,4
knn,5,22,113,4
knn,5,28,79,4
knn,5,28,117,4
knn,5,28,95,4
knn,5,32,71,4
knn,5,32,59,4
knn,5,32,79,4
knn,5,18,67,1
knn,5,18,75,1
knn,5,18,67,1
knn,5,61,59,4
knn,5,61,26,4
knn,5,61,41,4
knn,5,59,50,5
knn,5,59,42,5
knn,5,59,12,5
knn,5,63,56,4
knn,5,63,17,4
knn,5,63,51,4
knn,5,61,77,4
knn,5,61,42,4
knn,5,61,89,4
knn,5,26,108,4
knn,5,26,42,4
knn,5,63,16,5
knn,5,63,37,5
knn,5,63,49,5
knn,5,73,17,5
knn,5,73,65,5
knn,5,73,34,5
knn,5,57,53,4
knn,5,57,67,4
knn,5,57,116,4
knn,5,28,120,3
knn,5,28,252,3
knn,5,28,75,3
knn,5,37,48,4
knn,5,37,184,4
knn,5,37,358,4
knn,5,44,67,4
knn,5,44,87,4
knn,5,44,258,4
knn,5,27,95,4
knn,5,27,196,4
knn,5,27,146,4
