est_method,error,nodes,node_count
Multilateration,87.36246269100776,Subset,NA
Multilateration,130.38752156590166,Subset,NA
Multilateration,113.23140329066412,Subset,NA
Multilateration,140.89461773491996,Subset,NA
Multilateration,63.43291906598518,Subset,NA
Multilateration,42.26805515452916,Subset,NA
Multilateration,57.01680666267715,Subset,NA
Multilateration,70.96683968945457,Subset,NA
Multilateration,70.96683968945457,Subset,NA
Multilateration,70.96683968945457,Subset,NA
Multilateration,56.267376768886955,Subset,NA
Multilateration,88.98630627116727,Subset,NA
Multilateration,18.60498940807532,Subset,NA
Multilateration,35.607448149802735,Subset,NA
Multilateration,5.934079946764608,Subset,NA
Multilateration,43.34517646180696,Subset,NA
Multilateration,28.609550030091373,Subset,NA
Multilateration,18.047501876862924,Subset,NA
Multilateration,35.329151997422365,Subset,NA
Multilateration,48.56871575018838,Subset,NA
Multilateration,42.9754435055397,Subset,NA
Multilateration,40.19059189975532,Subset,NA
Multilateration,50.02294121977282,Subset,NA
Multilateration,58.710592252331466,Subset,NA
Multilateration,61.7551445956433,Subset,NA
Multilateration,74.55458584122836,Subset,NA
Multilateration,81.63389896258465,Subset,NA
Multilateration,78.59686658475631,Subset,NA
Multilateration,98.898591275049,Subset,NA
Multilateration,97.09661130205608,Subset,NA
Multilateration,115.76029736805756,Subset,NA
Multilateration,120.78664225017889,Subset,NA
Multilateration,123.20965847867802,Subset,NA
Multilateration,119.56314534988984,Subset,NA
Multilateration,143.09001335074822,Subset,NA
Multilateration,143.08509876952508,Subset,NA
Multilateration,147.51897735193415,Subset,NA
Multilateration,23.55289466643186,Subset,NA
Multilateration,24.063994400423883,Subset,NA
Multilateration,24.41066227409489,Subset,NA
Multilateration,17.74218591984582,Subset,NA
Multilateration,54.761374257005066,Subset,NA
Multilateration,25.84015360932949,Subset,NA
Multilateration,38.045940567434485,Subset,NA
Multilateration,28.19328946985765,Subset,NA
Multilateration,25.81893680919424,Subset,NA
Multilateration,22.21246291280025,Subset,NA
Multilateration,3.5630316259634283,Subset,NA
Multilateration,28.746358629618907,Subset,NA
Multilateration,20.885398314271537,Subset,NA
Multilateration,17.468341142676532,Subset,NA
Multilateration,18.368897806014516,Subset,NA
Multilateration,11.114525800515072,Subset,NA
Multilateration,38.634487108912026,Subset,NA
Multilateration,40.64548222638925,Subset,NA
Multilateration,20.488059757087225,Subset,NA
Multilateration,46.094936494785465,Subset,NA
Multilateration,59.911953792810095,Subset,NA
Multilateration,34.113230702793054,Subset,NA
Multilateration,30.792521325260218,Subset,NA
Multilateration,31.14281266281408,Subset,NA
Multilateration,11.720269570684277,Subset,NA
Multilateration,9.921194156261391,Subset,NA
Multilateration,10.924323219605274,Subset,NA
Multilateration,22.00256876709165,Subset,NA
Multilateration,22.056708231913145,Subset,NA
Multilateration,57.30686520006127,Subset,NA
Multilateration,35.40978237615757,Subset,NA
Multilateration,34.36350018857486,Subset,NA
Multilateration,20.47936564455712,Subset,NA
Multilateration,17.47612643655307,Subset,NA
Multilateration,64.88843531469517,Subset,NA
Multilateration,65.48566990391032,Subset,NA
Multilateration,35.49133472859809,Subset,NA
Multilateration,60.494156086817746,Subset,NA
Multilateration,64.88085278978568,Subset,NA
Multilateration,34.148333784325324,Subset,NA
Multilateration,69.34344600124355,Subset,NA
Multilateration,43.68000027187851,Subset,NA
Multilateration,58.65757374155124,Subset,NA
Multilateration,25.904252526127458,Subset,NA
Multilateration,19.381734132092195,Subset,NA
Multilateration,44.57597681120925,Subset,NA
Multilateration,51.464297404016605,Subset,NA
Multilateration,53.68147386939267,Subset,NA
