error,est,nearest_gp_det,distance_gp,dist_center,habitat
45.11356018540679,Fingerprinting,FALSE,6.489300375980302,367.63145158435185,4
33.00761190097537,Fingerprinting,FALSE,6.489300375980302,367.63145158435185,4
32.96526342085755,Fingerprinting,FALSE,6.489300375980302,367.63145158435185,4
91.87486116643286,Fingerprinting,TRUE,36.57742349761841,327.67393260753096,5
141.8693696423398,Fingerprinting,TRUE,36.57742349761841,327.67393260753096,5
91.08624168871458,Fingerprinting,TRUE,36.57742349761841,327.67393260753096,5
114.4555129042174,Fingerprinting,TRUE,51.704929514361034,328.33127209720055,5
90.06977237234874,Fingerprinting,TRUE,51.704929514361034,328.33127209720055,5
68.23409432907904,Fingerprinting,TRUE,51.704929514361034,328.33127209720055,5
66.20138535435271,Fingerprinting,FALSE,44.83438625105003,330.8816138190506,4
68.90809539801766,Fingerprinting,FALSE,44.83438625105003,330.8816138190506,4
79.12892525203911,Fingerprinting,FALSE,44.83438625105003,330.8816138190506,4
49.93096878942381,Fingerprinting,FALSE,21.015519513985776,335.2817628362778,4
65.87716652575156,Fingerprinting,FALSE,21.015519513985776,335.2817628362778,4
65.42115417996166,Fingerprinting,FALSE,21.015519513985776,335.2817628362778,4
64.11447125657052,Fingerprinting,FALSE,11.08185737355088,341.4602152794875,4
84.21023635933675,Fingerprinting,FALSE,11.08185737355088,341.4602152794875,4
57.479814256648105,Fingerprinting,FALSE,11.08185737355088,341.4602152794875,4
75.40344498571487,Fingerprinting,FALSE,56.86822953563015,358.7582958914149,4
54.99296780920836,Fingerprinting,FALSE,56.86822953563015,358.7582958914149,4
67.25726474561529,Fingerprinting,FALSE,56.86822953563015,358.7582958914149,4
88.967598743198,Fingerprinting,TRUE,73.27281755260759,369.6467678724746,4
43.93761933899213,Fingerprinting,TRUE,73.27281755260759,369.6467678724746,4
6.47507813305216,Fingerprinting,TRUE,73.27281755260759,369.6467678724746,4
34.64554432063201,Fingerprinting,TRUE,57.4228739000781,381.86378608941817,4
9.178298568989575,Fingerprinting,TRUE,57.4228739000781,381.86378608941817,4
34.226350112613495,Fingerprinting,TRUE,57.4228739000781,381.86378608941817,4
1.8040522240166037,Fingerprinting,TRUE,49.75432756012265,395.2861865174485,4
55.991123345967,Fingerprinting,TRUE,49.75432756012265,395.2861865174485,4
64.46631129506817,Fingerprinting,TRUE,49.75432756012265,395.2861865174485,4
10.323833121334012,Fingerprinting,FALSE,22.285270898071293,361.3642239064129,4
25.321570829709614,Fingerprinting,FALSE,22.285270898071293,361.3642239064129,4
24.996253229237475,Fingerprinting,FALSE,22.285270898071293,361.3642239064129,4
8.961561173195733,Fingerprinting,FALSE,40.174726872369085,409.79554338352375,4
29.143569566408747,Fingerprinting,FALSE,40.174726872369085,409.79554338352375,4
31.24682953132926,Fingerprinting,FALSE,40.174726872369085,409.79554338352375,4
42.52525418507852,Fingerprinting,FALSE,15.665408818258696,425.2806197142109,4
36.86215175046537,Fingerprinting,FALSE,15.665408818258696,425.2806197142109,4
27.614720630358516,Fingerprinting,FALSE,15.665408818258696,425.2806197142109,4
58.38657929799298,Fingerprinting,TRUE,8.900980430166179,364.9149359811734,3
