tag,cp,error,x_est,y_est,est,nearest_gp_det,grid_point,distance_gp,mean_gp_distance,dist_center,habitat
78524B34,A_16,54.99296780719315,186389.76624632388,447673.58664517046,Fingerprinting,FALSE,27,56.86822953563015,419.4653756593915,358.7582958914149,4
4C2A341E,A_16,67.25726474644772,186412.8098913689,447572.5419590328,Fingerprinting,FALSE,27,56.86822953563015,419.4653756593915,358.7582958914149,4
78524B34,A_17,88.967598741824,186364.82496777276,447672.5864221633,Fingerprinting,TRUE,15A2,73.27281755260759,427.80549998001334,369.6467678724746,4
2D331955,A_17,43.93761933969339,186397.600135212,447582.8832842537,Fingerprinting,TRUE,15A2,73.27281755260759,427.80549998001334,369.6467678724746,4
4C2A341E,A_17,6.475078136834573,186430.03216057929,447605.8198829447,Fingerprinting,TRUE,15A2,73.27281755260759,427.80549998001334,369.6467678724746,4
4C2A341E,A_18,34.64554431492102,186420.11435347164,447553.9373768888,Fingerprinting,TRUE,15A2,57.4228739000781,437.2085058578233,381.86378608941817,4
78524B34,A_18,9.178298562941157,186429.12258661955,447578.13534339133,Fingerprinting,TRUE,15A2,57.4228739000781,437.2085058578233,381.86378608941817,4
2D331955,A_18,34.22635010585197,186420.11077126855,447554.3737977018,Fingerprinting,TRUE,15A2,57.4228739000781,437.2085058578233,381.86378608941817,4
78524B34,A_19,1.804052228960631,186428.54393216263,447560.5228357414,Fingerprinting,TRUE,15A2,49.75432756012265,447.7262876960591,395.2861865174485,4
2D331955,A_19,55.99112334677168,186401.89765910825,447513.1139082249,Fingerprinting,TRUE,15A2,49.75432756012265,447.7262876960591,395.2861865174485,4
4C2A341E,A_19,64.46631129672504,186400.8993521791,447504.1159175923,Fingerprinting,TRUE,15A2,49.75432756012265,447.7262876960591,395.2861865174485,4
2D331955,A_2,10.323833118600684,186463.0967753218,447850.9801247107,Fingerprinting,FALSE,42A,22.285270898071293,422.38290666050335,361.3642239064129,4
4C2A341E,A_2,25.321570830562873,186439.53208405752,447869.6527114663,Fingerprinting,FALSE,42A,22.285270898071293,422.38290666050335,361.3642239064129,4
78524B34,A_2,24.99625322661954,186462.6149564332,447836.31561781873,Fingerprinting,FALSE,42A,22.285270898071293,422.38290666050335,361.3642239064129,4
2D331955,A_20,8.961561173395298,186418.8427687391,447537.9701759644,Fingerprinting,FALSE,14,40.174726872369085,459.4045885691665,409.79554338352375,4
78524B34,A_20,29.143569566425587,186410.91678536055,447513.5755163638,Fingerprinting,FALSE,14,40.174726872369085,459.4045885691665,409.79554338352375,4
4C2A341E,A_20,31.24682953036459,186401.3757566303,447520.6381886153,Fingerprinting,FALSE,14,40.174726872369085,459.4045885691665,409.79554338352375,4
2D331955,A_21,42.525254184836385,186385.02912758032,447505.2844957815,Fingerprinting,FALSE,14,15.665408818258696,472.17484093601746,425.2806197142109,4
4C2A341E,A_21,36.86215175127416,186395.91118780783,447532.2272235073,Fingerprinting,FALSE,14,15.665408818258696,472.17484093601746,425.2806197142109,4
