tag,cp,x,y,error,x_est,y_est
784C5552,H_6,186257.8277276097,447692.9855303755,164.35747401702386,186109.27000791728,447763.29899412923
78612A1E,H_6,186257.8277276097,447692.9855303755,167.05406644038126,186108.8510561357,447768.5700027941
34556652,H_4,186259.469372087,447742.951120802,160.4849925918954,186111.7447506625,447805.66371182015
784C5552,H_4,186259.469372087,447742.951120802,156.1359592625456,186105.0586499965,447766.09775507834
78612A1E,H_4,186259.469372087,447742.951120802,152.6401754420953,186109.35601893085,447770.6098330498
34556652,H_24,186237.76989881555,447843.7031353568,98.72628567457005,186335.90579152163,447832.9223169334
784C5552,H_24,186237.76989881555,447843.7031353568,75.0551075873108,186292.44489633926,447895.12213788234
78612A1E,H_24,186237.76989881555,447843.7031353568,85.15909143802146,186321.6264919535,447828.86593070615
34556652,H_23,186238.59073634725,447868.6859322184,84.10209534091258,186318.6918987436,447843.05457986455
784C5552,H_23,186238.59073634725,447868.6859322184,123.60176873816232,186356.8245571808,447832.6559329636
78612A1E,H_23,186238.59073634725,447868.6859322184,131.3591169221717,186362.28720978816,447824.47733512626
34556652,H_22,186239.411576623,447893.66872888134,50.18476699962014,186284.9920140378,447914.66717082076
784C5552,H_22,186239.411576623,447893.66872888134,69.8890804036081,186263.83098813656,447959.15289415047
78612A1E,H_22,186239.411576623,447893.66872888134,48.65352887352799,186286.4640506711,447906.0473619966
34556652,H_21,186240.23241964343,447918.65152533737,48.84329411246206,186273.45126619734,447954.4590051898
784C5552,H_21,186240.23241964343,447918.65152533737,37.89988867112641,186264.69965940042,447947.5955357706
78612A1E,H_21,186240.23241964343,447918.65152533737,36.67293363863785,186262.9363959187,447947.4514128885
34556652,H_2,186261.11102754204,447792.9167104408,62.92235559435543,186318.2515118256,447819.26415603585
784C5552,H_2,186261.11102754204,447792.9167104408,76.76279216186533,186329.6903132792,447827.4045028936
78612A1E,H_2,186261.11102754204,447792.9167104408,63.94922695386192,186317.55592772886,447822.97460243106
34556652,H_13,186252.08205838295,447518.10595753306,111.54066118229882,186148.98587649048,447560.67938088824
784C5552,H_13,186252.08205838295,447518.10595753306,105.27044772492323,186153.96097438177,447556.23888344545
78612A1E,H_13,186252.08205838295,447518.10595753306,93.66317264772073,186174.1535906075,447570.06694117084
34556652,H_11,186253.72366444068,447568.07155078393,91.61691075177396,186162.30427988133,447562.05869268754
784C5552,H_11,186253.72366444068,447568.07155078393,75.9506973918171,186177.95341497145,447573.3039240192
78612A1E,H_11,186253.72366444068,447568.07155078393,69.09897908007231,186185.50465329626,447579.0640677107
34556652,H_10,186254.5444715862,447593.0543470963,94.09240320476476,186167.21989266365,447558.01439480117
784C5552,H_10,186254.5444715862,447593.0543470963,106.05442350255431,186153.4319821614,447561.0573905727
78612A1E,H_10,186254.5444715862,447593.0543470963,88.96624165921507,186168.89695900274,447568.98162927653
34556652,H_1,186261.9318593862,447817.89950495464,75.81829083285542,186336.2327306573,447832.9923427651
784C5552,H_1,186261.9318593862,447817.89950495464,60.36927456640999,186321.70067256375,447826.3929308255
78612A1E,H_1,186261.9318593862,447817.89950495464,57.20712333974505,186319.13898262824,447817.89616126363
2D331955,A_9,186436.81135004293,447812.1536771926,62.0509256636403,186376.47252856087,447797.678042565
