tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
2D1E4C2A,B_11,26.26082825546382,186406.9036312079,447663.0778378515,186381.55040307035,447656.2335026999,13
2D2D5555,B_11,126.18838019473341,186406.9036312079,447663.0778378515,186394.15949624655,447537.5346408225,9
521E521E,B_11,34.71571984456761,186406.9036312079,447663.0778378515,186388.63934704234,447633.55501399864,10
2D1E4C2A,B_14,67.7675883238174,186404.44119692652,447588.129499501,186393.37565369,447521.2714425437,13
521E521E,B_14,41.177389899950334,186404.44119692652,447588.129499501,186379.41377374105,447555.4307911524,12
2D2D5555,B_14,109.8693132371039,186404.44119692652,447588.129499501,186359.254610228,447487.98241580045,10
2D1E4C2A,B_15,7.4553674646136034,186403.6203909897,447563.14671965013,186396.1672041832,447563.32702622213,18
2D2D5555,B_15,34.1366812385603,186403.6203909897,447563.14671965013,186392.92751147586,447530.72796992585,8
521E521E,B_15,48.95381518809754,186403.6203909897,447563.14671965013,186401.7942581145,447514.22697659896,9
2D1E4C2A,B_16,26.848150362145688,186402.7995877993,447538.16393959854,186411.77198194357,447512.8594079651,14
521E521E,B_16,89.99412334998163,186402.7995877993,447538.16393959854,186405.7547462962,447628.1095302397,9
2D2D5555,B_16,23.103509654527972,186402.7995877993,447538.16393959854,186386.50257360004,447521.78775302944,9
2D1E4C2A,B_17,30.525513568844282,186401.9787873533,447513.1811593408,186427.53691061685,447529.8721543347,11
521E521E,B_17,24.345491384658278,186401.9787873533,447513.1811593408,186385.47647626302,447531.0802285747,10
2D2D5555,B_17,44.33442356946187,186401.9787873533,447513.1811593408,186369.71473758089,447482.77438040054,5
2D1E4C2A,B_18,77.44005647661763,186401.15798965312,447488.19837888423,186379.31588797597,447562.49430704606,14
2D2D5555,B_18,62.097818654799376,186401.15798965312,447488.19837888423,186341.11810695566,447472.3443078815,9
521E521E,B_18,60.83176381403674,186401.15798965312,447488.19837888423,186342.22537292866,447473.11692753714,9
2D1E4C2A,B_19,18.57680719553931,186392.5916877944,447988.674801244,186375.78184867292,447980.7673949505,16
2D2D5555,B_19,35.424474865651476,186392.5916877944,447988.674801244,186372.59626909232,447959.43310754414,10
521E521E,B_19,18.162378026586136,186392.5916877944,447988.674801244,186382.54635492648,447973.54326916183,10
