method,error
Random Forest,69.27291544599457
Random Forest,42.98622415231708
Random Forest,71.625000807186
Random Forest,72.36279598923747
Random Forest,48.24612644850432
Random Forest,104.83021789891124
Random Forest,88.57450660821128
Random Forest,102.6303695511521
Random Forest,142.45806182979956
Random Forest,58.93962294396203
Random Forest,64.21987142437447
Random Forest,105.74619719888078
Random Forest,96.72951396384616
Random Forest,53.03373268216309
Random Forest,100.98552364251424
Random Forest,68.18078935459928
Random Forest,40.55902113317755
Random Forest,88.350555472545
Random Forest,77.37802169315835
Random Forest,83.37654948947251
Random Forest,121.29220804358464
Random Forest,35.171877802794235
Random Forest,55.08767624804237
Random Forest,54.96193190861581
Random Forest,67.02265420691691
Random Forest,63.29280903175662
Random Forest,102.1638138957138
Random Forest,61.05175659969382
Random Forest,73.88522610828998
Random Forest,61.391400467128896
Random Forest,55.390829378779046
Random Forest,85.30698080598167
Random Forest,58.484293246509374
Random Forest,76.26897493794999
Random Forest,104.25289927704814
Random Forest,71.52969048864085
Random Forest,73.51715144159749
Random Forest,88.06827585394461
Random Forest,66.72934636125356
Random Forest,97.2478377040274
Random Forest,86.50903662476937
Random Forest,68.6895873056573
Random Forest,20.521077358409094
Random Forest,44.60277594819201
Random Forest,63.70420845384567
Random Forest,55.63022003539346
Random Forest,8.198199573491491
Random Forest,65.93979710683021
Random Forest,104.9783581423457
Random Forest,39.22455429883578
Random Forest,68.74706711335105
Random Forest,50.66827443474002
Random Forest,57.505031307255315
Random Forest,50.15271306967287
Random Forest,58.97581537348288
Random Forest,54.79630658535672
Random Forest,50.22900346388406
Random Forest,62.44444255616216
Random Forest,20.586377535189904
Random Forest,59.52843867211007
Random Forest,53.78104430555436
Random Forest,38.05658348545412
Random Forest,69.14450535609052
Random Forest,62.578041396042
Random Forest,52.57672579751289
Random Forest,71.45167561865281
Random Forest,68.7504119428002
Random Forest,43.85335434888542
Random Forest,105.60728409641402
Random Forest,44.18635370572959
Random Forest,24.55215850789173
Random Forest,23.577028685910015
Random Forest,58.07357516285916
Random Forest,67.16665809295837
Random Forest,29.07073136558814
Random Forest,31.553869724739823
Random Forest,90.56789951235776
Random Forest,35.469064737198494
Random Forest,41.826243769038875
Random Forest,78.710453058359107
Random Forest,45.142192311267515
Random Forest,65.13236754525029
Random Forest,19.159471655702628
Random Forest,22.066359022136908
Random Forest,34.38586046463187
Random Forest,44.28375542183768
Random Forest,66.16657761958652
Random Forest,61.31590048956113
Random Forest,30.779990774741453
Random Forest,38.050663415731336
Random Forest,108.41969713148964
Random Forest,66.72383507881491
Random Forest,53.33554945809552
Random Forest,67.99935890500102
Random Forest,45.23009393969557
Random Forest,48.24010175943551
Random Forest,19.540021330503805
Random Forest,46.14761233663139
Random Forest,48.159733859399296
Random Forest,37.548374435444
Random Forest,37.44099735400895
Random Forest,24.70479887026518
Random Forest,47.323606450254395
Random Forest,9.323823618132083
Random Forest,10.708079812391022
Random Forest,56.49365791044868
Random Forest,26.19470974519802
Random Forest,45.0913971081609
Random Forest,54.688850146826574
Random Forest,28.494890865340995
Random Forest,25.53951054319536
Random Forest,38.500262921824465
Random Forest,36.735508226135785
Random Forest,37.09681526011166
Random Forest,89.90028979472203
Random Forest,38.16352313385082
Random Forest,21.680117181064897
Random Forest,83.30384592151914
Random Forest,21.48563265227102
Random Forest,46.16251112271978
Random Forest,66.93021918417197
Random Forest,35.89490015029407
Random Forest,58.71765871337401
Random Forest,64.63741343132418
Random Forest,42.14983915286598
Random Forest,36.08046100732002
Random Forest,58.13501707759508
Random Forest,41.00386419090563
Random Forest,27.926312452266657
Random Forest,48.98581425597533
Random Forest,19.410531027290286
Random Forest,80.9976023460955
Random Forest,46.94598870018976
Random Forest,19.69733808595594
Random Forest,43.93080333729002
Random Forest,5.700053835885739
Random Forest,44.495196785135526
Random Forest,37.10252740585085
Random Forest,19.295971876067444
Random Forest,122.59823432206436
Random Forest,33.896911724461376
Random Forest,9.641038151841386
Random Forest,59.18009283195651
Random Forest,57.41795579293774
Random Forest,39.37926758045793
Random Forest,92.58552692226338
Random Forest,49.25325555942064
Random Forest,53.41761585691306
Random Forest,75.37416911796072
Random Forest,72.52664701777385
Random Forest,25.560332542977488
Random Forest,79.11335716002783
Random Forest,35.398152891223454
Random Forest,13.518241318383769
Random Forest,92.57603915888905
Random Forest,20.43994239046822
Random Forest,18.61642407875451
Random Forest,53.2313764203478
Random Forest,9.703087070042644
Random Forest,29.48662592820609
Random Forest,43.06263015867019
Random Forest,29.813815394699343
Random Forest,22.650423514708113
Random Forest,51.35238102537077
Random Forest,13.476594229608292
Random Forest,35.66930487164484
Random Forest,59.4455429772399
Random Forest,28.7411166399455
Random Forest,24.902701084077503
Random Forest,28.777283027696175
Random Forest,21.79353120532625
Random Forest,23.790024330686062
Random Forest,16.091498059612523
Random Forest,21.771153459143456
Random Forest,48.76546412948605
Random Forest,84.31320573264775
Random Forest,70.87660900939068
Random Forest,43.78645633778004
Random Forest,41.3132560020078
Random Forest,79.21212468108764
Random Forest,14.37209300963463
Random Forest,86.04873496008206
Random Forest,45.344271017741214
Random Forest,30.537765902479272
Random Forest,25.359329789057117
Random Forest,19.90990945619
Random Forest,91.9921563079301
Random Forest,62.40286622910293
Random Forest,33.42535762970681
Random Forest,24.33811504724014
Random Forest,25.766013533216427
Random Forest,47.73251732242277
Random Forest,62.27418537456932
Random Forest,6.4582315289695655
Random Forest,25.70142054129216
Random Forest,82.08360411468631
Random Forest,53.21221221749009
Random Forest,66.41988207747404
Random Forest,30.254705481838315
Random Forest,14.864142151892192
Random Forest,42.62839251492866
Random Forest,54.26269939458398
Random Forest,68.08464777196069
Random Forest,83.18728520997728
Random Forest,89.44868596011702
Random Forest,90.20966635230204
Random Forest,73.52050064111953
Random Forest,49.07343529063057
Random Forest,42.130720005845625
Random Forest,49.25295283874164
Random Forest,56.17551861105523
Random Forest,30.99717526680331
Random Forest,26.476067982945892
Random Forest,7.71234379416508
Random Forest,32.329649075619336
Random Forest,36.149080573133325
Random Forest,14.715237611901411
Random Forest,7.914792730973723
Random Forest,28.674452228105057
Random Forest,9.230899132707036
Random Forest,26.98901095003191
Random Forest,57.62708182137944
Random Forest,24.789582329357092
Random Forest,10.067145853836532
Random Forest,17.3401810652699
Random Forest,29.404879950395653
Random Forest,28.53052355746109
Random Forest,52.712668441813896
Random Forest,9.36688848027895
Random Forest,21.39052860821163
Random Forest,41.434576097976944
Random Forest,43.38459613724919
Random Forest,31.80670257080909
Random Forest,11.193650505299924
Random Forest,47.656496889272034
Random Forest,43.745560838490064
Random Forest,36.394307663779905
Random Forest,93.06743215354528
Random Forest,30.76686781806455
Random Forest,53.21506194602148
Random Forest,21.93114036812099
Random Forest,20.56699094446765
Random Forest,34.24387498497272
Random Forest,41.92952865494912
Random Forest,34.28737898393028
Random Forest,27.62518269216295
Random Forest,22.195517466675557
Random Forest,37.607367653400374
Random Forest,31.085630594713713
Random Forest,71.05768025354293
Random Forest,34.94609435494806
Random Forest,24.65544069490434
Random Forest,35.36779599282316
Random Forest,45.34510752423815
Random Forest,18.010434721278674
Random Forest,33.56954355869967
Random Forest,71.13440911551234
Random Forest,24.579163319197143
Random Forest,42.5469852982706
Random Forest,53.309345004477755
Random Forest,51.78152245894065
Random Forest,25.987952645926914
Random Forest,3.97405732824662
Random Forest,40.41714596094528
Random Forest,66.3468221757248
Random Forest,50.760323262203144
Random Forest,30.114220080353423
Random Forest,73.80861554703021
Random Forest,57.874233740889125
Random Forest,59.961819031498955
Random Forest,93.93326022595484
Random Forest,32.8321062650634
Random Forest,75.57349857956676
Random Forest,26.988109402483573
Random Forest,19.429827366707684
Random Forest,51.71055646829715
Random Forest,48.75235710443284
Random Forest,7.0946502674852425
Random Forest,7.355978953298152
Random Forest,38.34862447823184
Random Forest,27.990230305405337
Random Forest,10.50437509300063
Random Forest,37.595713652087376
Random Forest,21.7704313644586
Random Forest,46.84045145413546
Random Forest,20.54289602116123
Random Forest,68.00856925504073
Random Forest,24.703191984427303
Random Forest,8.431000251692154
Random Forest,38.664993388006536
Random Forest,30.62305854578588
Random Forest,33.239428229099076
Random Forest,39.70880793452813
Random Forest,16.517700167315468
Random Forest,16.862299611568194
Random Forest,66.12952098466366
Random Forest,57.52280340750803
Random Forest,39.99485013236561
Random Forest,46.660681989066006
Random Forest,49.437085141023005
Random Forest,33.68346029409769
Random Forest,38.45018713481457
Random Forest,69.18246825391412
Random Forest,23.95360539300827
Random Forest,65.30484308019226
Random Forest,16.818916730901602
Random Forest,8.077963213941782
Random Forest,39.18688851130794
Random Forest,48.14322307766539
Random Forest,44.078940057438714
Random Forest,64.41103183295301
Random Forest,16.98941349786135
Random Forest,37.0863963615991
Random Forest,45.04086758433031
Random Forest,3.5972081748901363
Random Forest,45.87475147961414
Random Forest,27.65185607907985
Random Forest,42.35272279261711
