tag,cp,error,x_est,y_est,est,nearest_gp_det,mean_RSSI,dets_node,grid_point,distance_gp,mean_gp_distance,dist_center
2D331955,A_16,75.40344498571487,186420.23126643075,447562.6532243856,knn,FALSE,NA,NA,27,56.86822953563015,419.4653756593915,358.7582958914149
78524B34,A_16,54.99296780920836,186389.7662463239,447673.58664516895,knn,FALSE,NA,NA,27,56.86822953563015,419.4653756593915,358.7582958914149
4C2A341E,A_16,67.25726474561529,186412.8098913689,447572.54195902904,knn,FALSE,NA,NA,27,56.86822953563015,419.4653756593915,358.7582958914149
78524B34,A_17,88.967598743198,186364.82496777287,447672.5864221609,knn,TRUE,NA,NA,15A2,73.27281755260759,427.80549998001334,369.6467678724746
2D331955,A_17,43.93761933899213,186397.600135212,447582.88328425016,knn,TRUE,NA,NA,15A2,73.27281755260759,427.80549998001334,369.6467678724746
4C2A341E,A_17,6.47507813305216,186430.0321605793,447605.8198829439,knn,TRUE,NA,NA,15A2,73.27281755260759,427.80549998001334,369.6467678724746
4C2A341E,A_18,34.64554432063201,186420.11435347167,447553.93737688434,knn,TRUE,NA,NA,15A2,57.4228739000781,437.2085058578233,381.86378608941817
78524B34,A_18,9.178298568989575,186429.1225866196,447578.13534338673,knn,TRUE,NA,NA,15A2,57.4228739000781,437.2085058578233,381.86378608941817
2D331955,A_18,34.226350112613495,186420.1107712686,447554.3737976962,knn,TRUE,NA,NA,15A2,57.4228739000781,437.2085058578233,381.86378608941817
78524B34,A_19,1.8040522240166037,186428.5439321627,447560.52283574175,knn,TRUE,NA,NA,15A2,49.75432756012265,447.7262876960591,395.2861865174485
2D331955,A_19,55.991123345967,186401.89765910825,447513.1139082213,knn,TRUE,NA,NA,15A2,49.75432756012265,447.7262876960591,395.2861865174485
4C2A341E,A_19,64.46631129506817,186400.8993521791,447504.1159175896,knn,TRUE,NA,NA,15A2,49.75432756012265,447.7262876960591,395.2861865174485
2D331955,A_2,10.323833121334012,186463.09677532187,447850.98012470594,knn,FALSE,NA,NA,42A,22.285270898071293,422.38290666050335,361.3642239064129
4C2A341E,A_2,25.321570829709614,186439.53208405757,447869.65271146176,knn,FALSE,NA,NA,42A,22.285270898071293,422.38290666050335,361.3642239064129
78524B34,A_2,24.996253229237475,186462.61495643324,447836.3156178141,knn,FALSE,NA,NA,42A,22.285270898071293,422.38290666050335,361.3642239064129
2D331955,A_20,8.961561173195733,186418.84276873912,447537.97017595975,knn,FALSE,NA,NA,14,40.174726872369085,459.4045885691665,409.79554338352375
78524B34,A_20,29.143569566408747,186410.9167853606,447513.575516362,knn,FALSE,NA,NA,14,40.174726872369085,459.4045885691665,409.79554338352375
4C2A341E,A_20,31.24682953132926,186401.37575663032,447520.6381886117,knn,FALSE,NA,NA,14,40.174726872369085,459.4045885691665,409.79554338352375
2D331955,A_21,42.52525418507852,186385.02912758035,447505.2844957786,knn,FALSE,NA,NA,14,15.665408818258696,472.17484093601746,425.2806197142109
4C2A341E,A_21,36.86215175046537,186395.9111878079,447532.22722350433,knn,FALSE,NA,NA,14,15.665408818258696,472.17484093601746,425.2806197142109
78524B34,A_21,27.614720630358516,186399.58276179095,447508.758433,knn,FALSE,NA,NA,14,15.665408818258696,472.17484093601746,425.2806197142109
