cp,tag,x_cal,y_cal,x_est,y_est,error
B_1,2D1E4C2A,186415.1119239354,447912.9056193213,186364.67561939868,447841.204440428,87.66344660121696
B_1,2D2D5555,186415.1119239354,447912.9056193213,186391.46225385612,447879.2600643958,41.12578584175797
B_1,521E521E,186415.1119239354,447912.9056193213,186393.63431587123,447882.7876088732,36.991650429618375
B_10,2D1E4C2A,186407.7244481264,447688.060616895,186359.27078889083,447692.5993942444,48.66577435059474
B_10,2D2D5555,186407.7244481264,447688.060616895,186372.61055566138,447678.96054783283,36.27391212676714
B_10,521E521E,186407.7244481264,447688.060616895,186412.6408006949,447725.6353341967,37.89498519435872
B_11,2D1E4C2A,186406.90363120797,447663.07783785043,186357.3284124095,447676.28498993866,51.304299870463666
B_11,2D2D5555,186406.90363120797,447663.07783785043,186388.06129102322,447587.34251525573,78.04404443749311
B_11,521E521E,186406.90363120797,447663.07783785043,186407.40686547602,447605.8603313499,57.21971945813987
B_14,2D1E4C2A,186404.44119692655,447588.1294994996,186374.97920437792,447581.87497654324,30.118566737938366
B_14,2D2D5555,186404.44119692655,447588.1294994996,186384.73851614687,447532.7819865945,58.74983246520974
B_14,521E521E,186404.44119692655,447588.1294994996,186370.99137726045,447600.4237583528,35.6376098587411
B_15,2D1E4C2A,186403.62039098973,447563.1467196483,186399.78600968808,447558.9638522463,5.674403904331698
B_15,2D2D5555,186403.62039098973,447563.1467196483,186405.0842616026,447560.6154636688,2.924068057566543
B_15,521E521E,186403.62039098973,447563.1467196483,186417.43314498232,447555.4962134952,15.78994671488148
B_16,2D1E4C2A,186402.79958779932,447538.1639395943,186391.1323298693,447553.59391762683,19.344485769608674
B_16,2D2D5555,186402.79958779932,447538.1639395943,186380.19080749722,447571.2445097516,40.068454782818165
B_16,521E521E,186402.79958779932,447538.1639395943,186403.68734375937,447582.8174103389,44.662294613963795
B_17,2D1E4C2A,186401.9787873533,447513.18115933624,186379.81331008355,447543.20125374204,37.31640993890548
B_17,2D2D5555,186401.9787873533,447513.18115933624,186329.6992400497,447557.8893333673,84.98913920968697
B_17,521E521E,186401.9787873533,447513.18115933624,186388.70907958326,447555.19412426976,44.05876038664568
