est_method,nodes,tag,x,y,x_est,y_est,cp,error,node_count
ml,odd,19614B34,185781.5124866035,447658.6154418912,185881.70913092516,447724.8325197913,Z_4,120.10024537424798,2
ml,odd,554B554C,185781.5124866035,447658.6154418912,185890.22581506494,447677.30380538653,Z_4,110.30794493281947,2
ml,odd,19614B34,185782.33330579684,447683.5982897118,185886.1565635559,447700.0121074793,Z_3,105.11271219700878,1
ml,odd,554B554C,185782.33330579684,447683.5982897118,185818.19956745274,447760.5077110084,Z_3,84.86134461196033,2
ml,odd,071E2A4C,185782.33330579684,447683.5982897118,185886.1565635559,447700.0121074793,Z_3,105.11271219700878,1
ml,odd,071E2A4C,185783.15412773102,447708.58113733603,185886.1565635559,447700.0121074793,Z_2,103.35826071749717,1
ml,odd,554B554C,185783.15412773102,447708.58113733603,185809.14141793354,447768.57132623397,Z_2,65.3770756158479,2
ml,odd,19614B34,185783.15412773102,447708.58113733603,185886.1565635559,447700.0121074793,Z_2,103.35826071749717,1
ml,odd,071E2A4C,185783.97495240555,447733.56398476724,185827.65135212982,447752.09369254124,Z_1,47.44447241843497,2
ml,odd,554B554C,185783.97495240555,447733.56398476724,185830.63525101036,447749.43740075786,Z_1,49.28639570004192,2
ml,odd,19614B34,185783.97495240555,447733.56398476724,185801.2419793775,447775.6034332263,Z_1,45.447392083493845,2
ml,odd,521E1933,185808.1369734549,447707.7603141186,185803.44184448803,447773.64509802865,Y_12,66.0518658850104,2
ml,odd,552A2D4B,185808.1369734549,447707.7603141186,185886.1565635559,447700.0121074793,Y_12,78.40338733532386,1
ml,odd,34075261,185808.1369734549,447707.7603141186,185886.1565635559,447700.0121074793,Y_12,78.40338733532386,1
ml,odd,552A2D4B,185808.95779792935,447732.7431588006,185824.74386677548,447709.5861733858,Y_11,28.02580851849975,3
ml,odd,521E1933,185808.95779792935,447732.7431588006,185809.31037872715,447714.72862998635,Y_11,18.017978843865173,3
ml,odd,34075261,185808.95779792935,447732.7431588006,185793.2135760987,447763.9044906159,Y_11,34.912879021297975,3
ml,odd,521E1933,185809.77862514468,447757.726003282,185930.20701019032,447818.77872058324,Y_10,135.0201104079171,4
ml,odd,552A2D4B,185809.77862514468,447757.726003282,185847.654368697,447767.9238348125,Y_10,39.22458052758029,4
ml,odd,34075261,185809.77862514468,447757.726003282,185939.0394214672,447801.16849339457,Y_10,136.36569734765033,3
ml,odd,521E1933,185810.59945510072,447782.7088475681,185841.71379797993,447694.05188608175,Y_9,93.95828410945492,2
ml,odd,34075261,185810.59945510072,447782.7088475681,185886.1565635559,447700.0121074793,Y_9,112.01619284467841,1
ml,odd,552A2D4B,185810.59945510072,447782.7088475681,185798.13661919488,447688.2077220575,Y_9,95.3193841859434,2
ml,odd,521E1933,185811.420287798,447807.6916916512,185916.45000903888,447791.5907393535,Y_8,106.25668453714084,4
ml,odd,552A2D4B,185811.420287798,447807.6916916512,185848.9603873204,447786.66177202004,Y_8,43.02925274558115,4
ml,odd,34075261,185811.420287798,447807.6916916512,185884.81047785265,447818.840447796,Y_8,74.23216795858421,4
ml,odd,521E1933,185812.24112323564,447832.6745355269,185888.52762466305,447774.17201315856,Y_7,96.13623366604374,4
ml,odd,34075261,185812.24112323564,447832.6745355269,185866.72632854863,447768.3984634351,Y_7,84.26180060706665,4
ml,odd,552A2D4B,185812.24112323564,447832.6745355269,185888.3941599936,447769.45293180563,Y_7,98.97603843631484,4
ml,odd,34075261,185813.06196141467,447857.6573792079,185854.47340866274,447955.03667161864,Y_6,105.8188761686511,2
ml,odd,552A2D4B,185813.06196141467,447857.6573792079,185856.0050457952,447953.41756596556,Y_6,104.94818656830263,2
ml,odd,521E1933,185813.06196141467,447857.6573792079,185933.8018941614,447871.1777550314,Y_6,121.49457569001294,2
ml,odd,521E1933,185813.88280233424,447882.6402227011,185864.91496825952,447943.9987994976,Y_5,79.80699784802887,2
ml,odd,552A2D4B,185813.88280233424,447882.6402227011,185820.05256582928,447956.87734864524,Y_5,74.49306578485593,3
ml,odd,34075261,185813.88280233424,447882.6402227011,185772.20701643644,447849.0709879099,Y_5,53.51415377884904,3
ml,odd,552A2D4B,185814.70364599492,447907.6230659795,185794.3967968197,447870.5638167349,Y_4,42.25820722653497,3
ml,odd,34075261,185814.70364599492,447907.6230659795,185840.15188542986,447934.48551474727,Y_4,37.00275725049236,3
ml,odd,521E1933,185814.70364599492,447907.6230659795,185832.59192381214,447978.1677807664,Y_4,72.77738156616361,2
ml,odd,521E1933,185816.34534153904,447957.58875195886,185823.27903864573,447988.01254912675,Y_2,31.2039034366,1
ml,odd,34075261,185816.34534153904,447957.58875195886,185823.27903864573,447988.01254912675,Y_2,31.2039034366,1
ml,odd,552A2D4B,185816.34534153904,447957.58875195886,185823.27903864573,447988.01254912675,Y_2,31.2039034366,1
ml,odd,552A2D4B,185817.16619342216,447982.5715946472,185823.27903864573,447988.01254912675,Y_1,8.183572714653723,1
ml,odd,521E1933,185817.16619342216,447982.5715946472,185823.27903864573,447988.01254912675,Y_1,8.183572714653723,1
ml,odd,34075261,185817.16619342216,447982.5715946472,185823.27903864573,447988.01254912675,Y_1,8.183572714653723,1
ml,odd,4C524C66,185817.9870480469,448007.5544371361,185823.27903864573,447988.01254912675,X_24,20.245753912071166,1
ml,odd,2A786119,185817.9870480469,448007.5544371361,185823.27903864573,447988.01254912675,X_24,20.245753912071166,1
ml,odd,78073433,185817.9870480469,448007.5544371361,185823.27903864573,447988.01254912675,X_24,20.245753912071166,1
ml,odd,4C524C66,185818.8079054121,448032.5372794318,185823.27903864573,447988.01254912675,X_23,44.748660774733565,1
ml,odd,78073433,185818.8079054121,448032.5372794318,185823.27903864573,447988.01254912675,X_23,44.748660774733565,1
ml,odd,2A786119,185818.8079054121,448032.5372794318,185823.27903864573,447988.01254912675,X_23,44.748660774733565,1
ml,odd,191E4C07,185839.6864873801,447906.80222103494,185816.5180683564,447933.7953046942,X_11,35.57249225867229,3
ml,odd,33557852,185839.6864873801,447906.80222103494,185828.66822578074,447885.5802858545,X_11,23.91176742681096,3
ml,odd,4C4B664C,185839.6864873801,447906.80222103494,185846.67387096613,447963.28164241114,X_11,56.91000411498747,2
ml,odd,4C4B664C,185840.50733358314,447931.7850613748,185823.27903864573,447988.01254912675,X_10,58.807691039093186,1
ml,odd,191E4C07,185840.50733358314,447931.7850613748,185823.27903864573,447988.01254912675,X_10,58.807691039093186,1
ml,odd,33557852,185840.50733358314,447931.7850613748,185823.27903864573,447988.01254912675,X_10,58.807691039093186,1
ml,odd,191E4C07,185841.3281825266,447956.7679015204,185823.27903864573,447988.01254912675,X_9,36.08323154702563,1
ml,odd,4C4B664C,185841.3281825266,447956.7679015204,185823.27903864573,447988.01254912675,X_9,36.08323154702563,1
