tag,cp,error,x_cal,y_cal,x_est,y_est
4C2A341E,A_24,9.136008413383438,186415.93276830894,447937.8883963808,186416.81592917154,447946.9816178463
2D331955,A_3,48.184668920673474,186462.61495643324,447836.3156178141,186414.71548657486,447831.08082017896
4C2A341E,A_3,24.99625322929565,186462.61495643324,447836.3156178141,186463.43579217079,447861.298389962
78524B34,A_3,13.12242388397677,186462.61495643324,447836.3156178141,186456.05983595812,447847.6834849908
78524B34,A_4,33.913609077378155,186440.91554345653,447937.06755070796,186407.02022524437,447938.1812310703
2D331955,A_4,41.418501941785166,186440.91554345653,447937.06755070796,186399.51938004725,447938.4276823536
4C2A341E,A_4,34.45504227669374,186440.91554345653,447937.06755070796,186407.69883200727,447946.2217857271
2D331955,A_5,29.55739279941532,186440.0946992826,447912.0847764017,186455.03959234018,447886.58399914694
78524B34,A_5,29.991720708962976,186440.0946992826,447912.0847764017,186418.5072606717,447932.90509833256
4C2A341E,A_5,60.64683269305777,186440.0946992826,447912.0847764017,186389.00168525937,447879.41151158593
78524B34,A_6,17.667976091463895,186439.27385785393,447887.1020019004,186455.14471434656,447879.3384142401
2D331955,A_6,8.908957335702473,186439.27385785393,447887.1020019004,186439.5664162057,447896.0061543261
4C2A341E,A_6,24.996255768366726,186439.27385785393,447887.1020019004,186440.0946992826,447912.08477640175
4C2A341E,A_7,9.535661949405508,186438.45301917172,447862.11922719807,186438.13988456578,447852.58870803425
2D331955,A_7,0.68940213236639,186438.45301917172,447862.11922719807,186438.43038301263,447861.43019678915
78524B34,A_7,24.996255988818728,186438.45301917172,447862.11922719807,186437.6321832343,447837.1364522957
2D331955,A_8,24.996255988760556,186437.6321832343,447837.1364522957,186438.45301917172,447862.119227198
78524B34,A_8,24.9962559887596,186437.6321832343,447837.1364522957,186438.4530191717,447862.119227198
4C2A341E,A_8,24.996255988876907,186437.6321832343,447837.1364522957,186438.45301917172,447862.1192271981
4C2A341E,A_9,41.56846573595044,186436.81135004296,447812.1536771912,186462.884791281,447844.52825063467
2D331955,A_9,22.460994141165163,186436.81135004296,447812.1536771912,186414.44152909433,447814.1754013404
78524B34,A_9,41.06757448551153,186436.81135004296,447812.1536771912,186438.38798374194,447853.1909760826
2D1E4C2A,B_1,78.46561920293094,186415.11192393544,447912.9056193213,186343.02250205373,447881.9222584697
2D2D5555,B_1,34.30018053721256,186415.11192393544,447912.9056193213,186391.47015462344,447937.75655750645
521E521E,B_1,32.1326487513855,186415.11192393544,447912.9056193213,186398.66161571103,447940.5080553569
2D1E4C2A,B_10,67.24612874690705,186407.7244481264,447688.060616895,186341.2844458347,447698.44175011467
2D2D5555,B_10,23.302349996168996,186407.7244481264,447688.060616895,186391.06268348667,447704.3512618925
521E521E,B_10,7.266645606748559,186407.7244481264,447688.060616895,186407.14009885705,447695.30372909247
2D1E4C2A,B_11,26.260828256129084,186406.90363120797,447663.07783785043,186381.55040307037,447656.2335026964
2D2D5555,B_11,126.18838019641575,186406.90363120797,447663.07783785043,186394.15949624658,447537.53464081977
521E521E,B_11,34.71571984798316,186406.90363120797,447663.07783785043,186388.6393470424,447633.5550139936
2D1E4C2A,B_14,67.76758832531048,186404.44119692655,447588.1294994996,186393.37565369002,447521.2714425408
521E521E,B_14,41.177389900828565,186404.44119692655,447588.1294994996,186379.41377374108,447555.4307911499
2D2D5555,B_14,109.869313238177,186404.44119692655,447588.1294994996,186359.254610228,447487.9824157979
2D1E4C2A,B_15,7.4553674645953025,186403.62039098973,447563.1467196483,186396.16720418324,447563.3270262196
2D2D5555,B_15,34.136681241047825,186403.62039098973,447563.1467196483,186392.9275114759,447530.7279699214
521E521E,B_15,48.9538151902519,186403.62039098973,447563.1467196483,186401.79425811447,447514.226976595
2D1E4C2A,B_16,26.848150356714445,186402.79958779935,447538.16393959115,186411.77198194363,447512.85940796346
521E521E,B_16,89.99412335603101,186402.79958779935,447538.16393959115,186405.75474629624,447628.1095302384
2D2D5555,B_16,23.103509651433374,186402.79958779935,447538.16393959115,186386.50257360004,447521.78775302647
2D1E4C2A,B_17,30.525513569975146,186401.9787873533,447513.18115933624,186427.5369106169,447529.8721543321
521E521E,B_17,24.345491385303543,186401.9787873533,447513.18115933624,186385.47647626308,447531.0802285711
2D2D5555,B_17,44.334423568839426,186401.9787873533,447513.18115933624,186369.71473758097,447482.7743803968
2D1E4C2A,B_18,77.44005647869207,186401.15798965318,447488.1983788796,186379.315887976,447562.49430704355
2D2D5555,B_18,62.09781865451544,186401.15798965318,447488.1983788796,186341.1181069557,447472.34430787805
521E521E,B_18,60.8317638135461,186401.15798965318,447488.1983788796,186342.22537292872,447473.11692753446
2D1E4C2A,B_19,18.57680719375539,186392.59168779445,447988.6748012394,186375.78184867298,447980.7673949501
2D2D5555,B_19,35.424474862608,186392.59168779445,447988.6748012394,186372.5962690924,447959.4331075432
521E521E,B_19,18.16237802251262,186392.59168779445,447988.6748012394,186382.54635492654,447973.5432691621
2D1E4C2A,B_2,58.8715179956227,186414.291082308,447887.92284207226,186371.8711069118,447847.10126299335
2D2D5555,B_2,62.9306098967773,186414.291082308,447887.92284207226,186391.82876677677,447946.70809569047
521E521E,B_2,41.98641498837077,186414.291082308,447887.92284207226,186407.54767541302,447929.3641922798
2D1E4C2A,B_20,26.627776544191708,186391.77083773172,447963.6920218405,186367.08943448187,447973.6853604871
2D2D5555,B_20,7.788646215883217,186391.77083773172,447963.6920218405,186389.44040522753,447956.26019203756
521E521E,B_20,18.373168319015747,186391.77083773172,447963.6920218405,186376.02798862365,447973.1649314273
2D1E4C2A,B_21,41.43184431964541,186390.94999041478,447938.7092422332,186432.35948900488,447937.34867241007
2D2D5555,B_21,30.459290331107706,186390.94999041478,447938.7092422332,186405.78356404958,447912.1059818936
521E521E,B_21,37.31487687182763,186390.94999041478,447938.7092422332,186423.8339067967,447921.0726870325
2D1E4C2A,B_22,34.65128767455177,186390.1291458436,447913.7264624414,186356.2020484868,447906.6792074831
2D2D5555,B_22,12.815764071213929,186390.1291458436,447913.7264624414,186396.97261776996,447902.8908405985
521E521E,B_22,20.771487539699628,186390.1291458436,447913.7264624414,186404.09494147045,447898.35079181794
2D1E4C2A,B_23,50.52932678621765,186389.308304017,447888.7436824548,186438.7038994582,447878.0999981078
521E521E,B_23,38.95387910361734,186389.308304017,447888.7436824548,186390.5874957847,447927.6765524446
2D2D5555,B_23,33.234887710197,186389.308304017,447888.7436824548,186397.77179295066,447920.88286595687
2D1E4C2A,B_24,11.423436303089698,186388.4874649356,447863.76090225636,186381.63537834922,447854.62067215075
2D2D5555,B_24,45.762818100155506,186388.4874649356,447863.76090225636,186405.6721512285,447906.17460378644
521E521E,B_24,45.201954861241866,186388.4874649356,447863.76090225636,186407.08376684468,447904.9603473811
2D1E4C2A,B_3,48.26584015983743,186413.47024342607,447862.9400646252,186385.35974208624,447823.7049905108
2D2D5555,B_3,45.24559540512881,186413.47024342607,447862.9400646252,186382.12865996704,447895.572395983
521E521E,B_3,28.901021449344494,186413.47024342607,447862.9400646252,186398.1501277187,447838.43367575353
2D1E4C2A,B_4,63.82018835518362,186412.64940729,447837.9572869847,186362.6100609742,447798.3456692195
2D2D5555,B_4,52.824696340349185,186412.64940729,447837.9572869847,186386.55564986423,447792.0272927886
521E521E,B_4,84.08369085604747,186412.64940729,447837.9572869847,186401.90629756066,447754.5627268425
2D1E4C2A,B_5,8.317140674771641,186411.8285738986,447812.97450913256,186403.55283605278,447813.80335900525
2D2D5555,B_5,25.935249172321416,186411.8285738986,447812.97450913256,186404.64698545085,447837.8956234134
521E521E,B_5,26.851276785927798,186411.8285738986,447812.97450913256,186386.6668143989,447822.3487783795
2D1E4C2A,B_6,53.37936347868394,186411.0077432533,447787.9917310898,186379.3393629486,447830.9623039771
2D2D5555,B_6,16.19188526675489,186411.0077432533,447787.9917310898,186394.97700434775,447785.7130124513
