cp,tag,x_cal,y_cal,x_est,y_est,error
A_2,78524B34,186463.43579217073,447861.29838996194,186412.36436726988,447832.8006336443,58.484293246509374
A_20,2D331955,186427.7823661508,447537.3431378602,186356.00079518365,447563.1183703048,76.26897493794999
A_20,4C2A341E,186427.7823661508,447537.3431378602,186366.85923426802,447621.9424227819,104.25289927704814
A_20,78524B34,186427.7823661508,447537.3431378602,186382.29036197835,447592.54254164116,71.52969048864085
A_21,2D331955,186426.96156590746,447512.3603603511,186368.79476364612,447557.32028329116,73.51715144159749
A_21,4C2A341E,186426.96156590746,447512.3603603511,186372.526097943,447581.5904191361,88.06827585394461
A_21,78524B34,186426.96156590746,447512.3603603511,186368.900542371,447545.24992118275,66.72934636125356
A_22,2D331955,186417.574465291,447987.85394987673,186404.85522285453,447891.441487975,97.2478377040274
A_22,4C2A341E,186417.574465291,447987.85394987673,186353.5527178997,447929.6729454276,86.50903662476937
A_22,78524B34,186417.574465291,447987.85394987673,186390.53533532066,447924.71010730544,68.6895873056573
A_23,2D331955,186416.7536154274,447962.8711732208,186401.69893041885,447948.9258845812,20.521077358409098
A_23,4C2A341E,186416.7536154274,447962.8711732208,186381.89972880235,447935.0392812727,44.60277594819201
A_23,78524B34,186416.7536154274,447962.8711732208,186356.14862611843,447943.2430952306,63.70420845384567
A_24,2D331955,186415.93276830882,447937.8883963808,186397.06018438863,447885.55726838455,55.63022003539346
A_24,4C2A341E,186415.93276830882,447937.8883963808,186410.76215299466,447931.526383058,8.198199573491491
A_24,78524B34,186415.93276830882,447937.8883963808,186395.30893007983,447875.2568217623,65.93979710683021
A_3,2D331955,186462.6149564333,447836.3156178141,186397.63022131854,447753.8690297687,104.9783581423457
A_3,4C2A341E,186462.6149564333,447836.3156178141,186424.8849077099,447847.0398466102,39.22455429883578
A_3,78524B34,186462.6149564333,447836.3156178141,186398.01650762607,447812.795421208,68.74706711335105
A_4,2D331955,186440.91554345653,447937.06755070796,186390.36055224357,447933.68126990873,50.66827443474002
A_4,4C2A341E,186440.91554345653,447937.06755070796,186383.4243329462,447935.8068605383,57.505031307255315
A_4,78524B34,186440.91554345653,447937.06755070796,186396.43411199507,447913.9008314023,50.15271306967287
A_5,2D331955,186440.09469928266,447912.08477639564,186432.84140363865,447853.55669338186,58.97581537348288
A_5,4C2A341E,186440.09469928266,447912.08477639564,186399.59605124613,447875.1727902311,54.796306585356724
A_5,78524B34,186440.09469928266,447912.08477639564,186389.99049424546,447908.5462136133,50.22900346388406
A_6,2D331955,186439.27385785393,447887.1020019004,186376.84579709178,447888.53225908964,62.44444255616216
A_6,4C2A341E,186439.27385785393,447887.1020019004,186420.17284607384,447894.77991105575,20.586377535189904
A_6,78524B34,186439.27385785393,447887.1020019004,186406.2474350341,447837.5753383093,59.52843867211007
A_7,2D331955,186438.45301917172,447862.11922719807,186385.11566665367,447855.2252042099,53.78104430555436
A_7,4C2A341E,186438.45301917172,447862.11922719807,186406.17622277778,447841.95708541875,38.05658348545412
A_7,78524B34,186438.45301917172,447862.11922719807,186373.56267432193,447838.24024551513,69.14450535609052
A_8,2D331955,186437.6321832343,447837.1364522957,186395.91396356918,447790.4931096524,62.578041396041996
A_8,4C2A341E,186437.6321832343,447837.1364522957,186390.75991035128,447813.31834719965,52.57672579751289
A_8,78524B34,186437.6321832343,447837.1364522957,186382.6143939583,447791.5471464017,71.45167561865281
A_9,2D331955,186436.81135004296,447812.1536771912,186371.1650236253,447791.7287177011,68.7504119428002
A_9,4C2A341E,186436.81135004296,447812.1536771912,186393.0615740821,447809.1414037934,43.85335434888542
A_9,78524B34,186436.81135004296,447812.1536771912,186338.38219356292,447773.88358953974,105.60728409641402
B_1,2D1E4C2A,186415.1119239354,447912.9056193213,186382.67544275706,447882.9004773857,44.18635370572959
B_1,2D2D5555,186415.1119239354,447912.9056193213,186393.1407954055,447901.94760862045,24.55215850789173
B_1,521E521E,186415.1119239354,447912.9056193213,186393.2655421404,447921.7719536328,23.577028685910015
