tag,cp,error,x_cal,y_cal,x_est,y_est,node_count,round,dets,habitat
78524B34,A_6,17.667976091463895,186439.27385785393,447887.1020019004,186455.14471434656,447879.3384142401,22,one,NA,2
2D331955,A_6,7.148952181283826,186439.27385785393,447887.1020019004,186435.40917992344,447893.1163000127,24,one,NA,2
4C2A341E,A_6,24.996255768366726,186439.27385785393,447887.1020019004,186440.0946992826,447912.08477640175,22,one,NA,2
4B2A2D1E,A_6,33.68030632162514,186439.27385785393,447887.1020019004,186421.88227935007,447915.9446098106,19,two,299,2
4C1E4B2A,A_6,12.294042571264873,186439.27385785393,447887.1020019004,186444.8276283535,447876.1339065333,24,two,416,2
521E521E,A_6,136.29811734054334,186439.27385785393,447887.1020019004,186405.02237140527,447755.1777339789,17,two,247,2
4C2A341E,A_7,26.849110486689003,186438.45301917172,447862.11922719807,186442.41922505148,447835.56468060345,23,one,NA,NA
2D331955,A_7,0.68940213236639,186438.45301917172,447862.11922719807,186438.43038301263,447861.4301967891,22,one,NA,NA
78524B34,A_7,24.996255988818728,186438.45301917172,447862.11922719807,186437.6321832343,447837.1364522957,25,one,NA,NA
4B2A2D1E,A_7,19.870570634907285,186438.45301917172,447862.11922719807,186443.3433086844,447842.8598231097,20,two,366,NA
4C1E4B2A,A_7,25.568591517761178,186438.45301917172,447862.11922719807,186420.33419696108,447844.07868524664,26,two,610,NA
521E521E,A_7,129.21997279951333,186438.45301917172,447862.11922719807,186429.39829964295,447733.2168865499,21,two,369,NA
2D331955,A_8,16.42911003813918,186437.6321832343,447837.1364522957,186442.63979483215,447852.7837997619,25,one,NA,2
78524B34,A_8,24.9962559887596,186437.6321832343,447837.1364522957,186438.4530191717,447862.119227198,26,one,NA,2
4C2A341E,A_8,24.996255988876907,186437.6321832343,447837.1364522957,186438.45301917172,447862.1192271981,24,one,NA,2
4B2A2D1E,A_8,19.26021722658166,186437.6321832343,447837.1364522957,186419.47509899837,447843.5611125719,21,two,409,2
4C1E4B2A,A_8,25.73561334920371,186437.6321832343,447837.1364522957,186444.039664084,447862.06166009064,26,two,572,2
521E521E,A_8,40.88688487936848,186437.6321832343,447837.1364522957,186443.8979014249,447877.54038936493,19,two,393,2
4C2A341E,A_9,41.56846573595044,186436.81135004296,447812.1536771912,186462.884791281,447844.5282506346,24,one,NA,1_5
2D331955,A_9,22.460994141165163,186436.81135004296,447812.1536771912,186414.44152909433,447814.1754013404,22,one,NA,1_5
78524B34,A_9,41.06757448551153,186436.81135004296,447812.1536771912,186438.3879837419,447853.1909760826,24,one,NA,1_5
4B2A2D1E,A_9,59.83704961050875,186436.81135004296,447812.1536771912,186439.8663976439,447871.9126864722,22,two,303,1_5
4C1E4B2A,A_9,36.036502525484785,186436.81135004296,447812.1536771912,186419.89580386577,447843.9733851062,26,two,361,1_5
521E521E,A_9,40.42592592236485,186436.81135004296,447812.1536771912,186429.99879523856,447772.30590957846,19,two,214,1_5
2D1E4C2A,B_1,78.46561920293094,186415.11192393544,447912.9056193213,186343.02250205373,447881.9222584697,18,one,NA,2
2D2D5555,B_1,34.30018053721256,186415.11192393544,447912.9056193213,186391.47015462344,447937.75655750645,8,one,NA,2
521E521E,B_1,32.1326487513855,186415.11192393544,447912.9056193213,186398.66161571103,447940.5080553569,8,one,NA,2
071E2A4C,B_1,46.89001699718396,186415.11192393544,447912.9056193213,186401.85904894603,447957.8837806722,22,two,252,2
07610752,B_1,72.17236004567926,186415.11192393544,447912.9056193213,186376.76885625353,447974.05019156856,23,two,280,2
554B554C,B_1,22.14504852305407,186415.11192393544,447912.9056193213,186425.52269432493,447932.4509265326,22,two,273,2
2D1E4C2A,B_10,67.24612874690705,186407.7244481264,447688.060616895,186341.2844458347,447698.44175011467,20,one,NA,2
2D2D5555,B_10,23.302349996168996,186407.7244481264,447688.060616895,186391.06268348667,447704.3512618925,9,one,NA,2
521E521E,B_10,7.266645606748559,186407.7244481264,447688.060616895,186407.14009885705,447695.30372909247,10,one,NA,2
2D1E4C2A,B_11,26.260828256129084,186406.90363120797,447663.0778378504,186381.55040307037,447656.2335026964,13,one,NA,2
2D2D5555,B_11,126.18838019641576,186406.90363120797,447663.0778378504,186394.15949624655,447537.53464081977,9,one,NA,2
521E521E,B_11,34.71571984798316,186406.90363120797,447663.0778378504,186388.6393470424,447633.5550139936,10,one,NA,2
2D1E4C2A,B_14,67.76758832531048,186404.44119692655,447588.1294994996,186393.37565369,447521.2714425408,13,one,NA,3
521E521E,B_14,41.177389900828565,186404.44119692655,447588.1294994996,186379.41377374108,447555.4307911499,12,one,NA,3
2D2D5555,B_14,109.869313238177,186404.44119692655,447588.1294994996,186359.254610228,447487.9824157979,10,one,NA,3
2D1E4C2A,B_15,7.4553674645953025,186403.62039098973,447563.1467196483,186396.16720418324,447563.3270262196,18,one,NA,2_3
