k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,6119331E,WNC_25,55.78799330983373,186050.49083847192,447877.3861686749,186005.54509758388,447910.434324048,39
9,072D1E2A,WNC_25,89.73200620637354,186050.49083847192,447877.3861686749,185992.89668747535,447946.1956644499,36
9,072D1E2A,WNC_3,155.52182638508015,185904.0225996599,447630.48073169193,185754.43801072697,447673.0423251292,28
9,2D2A784C,WNC_3,14.827851371746304,185904.0225996599,447630.48073169193,185918.51226539607,447627.33196000184,39
9,6119331E,WNC_3,57.40864703245124,185904.0225996599,447630.48073169193,185849.16919582337,447647.41758032574,32
9,2A4C3361,WNC_30,57.25161440745477,186173.3529439979,447528.56499217916,186229.67126029916,447518.269624228,24
9,784C3352,WNC_30,14.914761928718201,186173.3529439979,447528.56499217916,186187.41719729605,447533.5295568686,26
9,332D1907,WNC_30,95.52787729567196,186173.3529439979,447528.56499217916,186267.17422544167,447510.58882771444,13
9,2A786119,WNC_31,24.955835478188074,186439.3246726122,447808.49809257715,186422.653219272,447827.0684013506,27
9,4C524C66,WNC_31,40.391927896148026,186439.3246726122,447808.49809257715,186402.15614279336,447792.6864440143,21
9,78073433,WNC_31,27.21039522685695,186439.3246726122,447808.49809257715,186412.15215080732,447807.0629385207,22
9,784C3352,WNC_32,20.261141753224884,186218.64808333642,447552.76907241397,186217.71329647527,447532.529506246,25
9,2A4C3361,WNC_32,39.73570188678111,186218.64808333642,447552.76907241397,186239.30294229693,447518.82348646,21
9,332D1907,WNC_32,53.476454809095685,186218.64808333642,447552.76907241397,186256.03081435827,447514.5295295258,14
9,2A786119,WNC_33,49.310351090983204,186148.4401164301,448065.6945938085,186120.70467282904,448024.9238212751,34
9,4C524C66,WNC_33,36.35850249349847,186148.4401164301,448065.6945938085,186114.56525142485,448052.487238871,27
9,78073433,WNC_33,29.429870523239572,186148.4401164301,448065.6945938085,186119.026273565,448064.72344658966,26
9,784C3352,WNC_34,42.115845318024896,186257.0979040046,447562.80202558235,186237.0876910102,447525.7434799718,21
9,2A4C3361,WNC_34,50.029894819306335,186257.0979040046,447562.80202558235,186237.59390479943,447516.7305117084,19
9,332D1907,WNC_34,50.253077827715146,186257.0979040046,447562.80202558235,186279.55794122978,447517.84739780053,9
9,2A786119,WNC_35,45.62928499053229,186084.72015499332,447969.6050971444,186039.90444735895,447978.1832087068,35
9,4C524C66,WNC_35,45.709214192812624,186084.72015499332,447969.6050971444,186039.6595446646,447961.9321799072,34
9,78073433,WNC_35,34.65360193401631,186084.72015499332,447969.6050971444,186065.16629370768,447998.214861838,33
9,784C3352,WNC_36,39.45831405874552,186319.97054055112,447663.1131087394,186329.09501157893,447701.50194275164,22
9,2A4C3361,WNC_36,50.095527141048,186319.97054055112,447663.1131087394,186325.91123397922,447613.3710741898,20
9,332D1907,WNC_36,42.085206855279274,186319.97054055112,447663.1131087394,186361.35274137277,447670.77327134914,10
9,2A4C3361,WNC_37,11.268726949587766,185997.48378881466,448078.546041289,186007.50487162787,448083.69988512783,26
9,784C3352,WNC_37,20.251433318048658,185997.48378881466,448078.546041289,185978.7165060282,448070.9362023782,29
9,332D1907,WNC_37,13.21586192427808,185997.48378881466,448078.546041289,185992.42205399362,448090.75414707995,14
9,784C3352,WNC_38,50.83696421266155,186355.11902868262,447728.53067275946,186390.07768571543,447765.4398752545,25
9,2A4C3361,WNC_38,31.520554394129373,186355.11902868262,447728.53067275946,186378.49374339462,447749.6770214146,26
9,332D1907,WNC_38,42.007475168964774,186355.11902868262,447728.53067275946,186391.03237690392,447750.32194141473,10
9,2A4C3361,WNC_39,35.910177396022085,186060.31587588618,448096.516415963,186026.5189577768,448084.3793171778,28
9,784C3352,WNC_39,39.81587230376094,186060.31587588618,448096.516415963,186034.28465782196,448066.3886982698,34
9,332D1907,WNC_39,55.56079983511267,186060.31587588618,448096.516415963,186007.09321115262,448080.5680481162,15
9,2D331955,WNC_4,59.975148385262486,185944.79404417402,447576.1007445273,185983.23089358778,447622.14015189727,41
9,4C2A341E,WNC_4,39.56760565964339,185944.79404417402,447576.1007445273,185978.27098269312,447597.19316034496,41
9,78524B34,WNC_4,55.25883031314171,185944.79404417402,447576.1007445273,185995.33763822255,447598.4364430441,34
9,2A4C3361,WNC_40,62.08667713197223,186399.80948931345,447695.77082521515,186363.61038437803,447746.2126756884,20
9,784C3352,WNC_40,93.0373419132869,186399.80948931345,447695.77082521515,186399.41743859046,447788.8073410921,20
