cp,tag,x_cal,y_cal,x_est,y_est,error
B_4,2D1E4C2A,186412.64940729007,447837.9572869847,186399.375,447781.6875,57.81434784037727
B_4,2D2D5555,186412.64940729007,447837.9572869847,186382.3125,447847.25,31.728259629399133
B_4,521E521E,186412.64940729007,447837.9572869847,186412.046875,447797.59375,40.368033926329225
B_5,2D1E4C2A,186411.8285738986,447812.97450913256,186352.046875,447820.75,60.28523684477772
B_5,2D2D5555,186411.8285738986,447812.97450913256,186417.640625,447845.34375,32.88689240928311
B_5,521E521E,186411.8285738986,447812.97450913256,186376.421875,447767.65625,57.50981601171303
B_6,2D1E4C2A,186411.00774325329,447787.9917310898,186386.6875,447844.21875,61.261340888279875
B_6,2D2D5555,186411.00774325329,447787.9917310898,186387.671875,447850.71875,66.92713686165506
B_6,521E521E,186411.00774325329,447787.9917310898,186410.3125,447755.8125,32.186740697222355
B_7,2D1E4C2A,186410.18691535312,447763.0089528427,186362.984375,447749.8125,49.01251047861597
B_7,2D2D5555,186410.18691535312,447763.0089528427,186392.15625,447766.40625,18.347929612116715
B_7,521E521E,186410.18691535312,447763.0089528427,186374.484375,447756.8125,36.23627209713116
B_8,2D1E4C2A,186409.366090199,447738.02617439354,186391.453125,447691.34375,50.0012306796494
B_8,2D2D5555,186409.366090199,447738.02617439354,186358.0625,447779.875,66.20711874071836
B_8,521E521E,186409.366090199,447738.02617439354,186353.28125,447645.34375,108.33070244216384
B_9,2D1E4C2A,186408.54526779018,447713.0433957422,186386.9375,447760.125,51.80321503886692
B_9,2D2D5555,186408.54526779018,447713.0433957422,186386.6875,447691.75,30.515089955674767
B_9,521E521E,186408.54526779018,447713.0433957422,186366.703125,447670.75,59.493665517257135
C_1,4B2A5555,186387.66662859984,447838.77812186163,186341.140625,447867.4375,54.64456941224904
C_1,55346178,186387.66662859984,447838.77812186163,186392.953125,447830.71875,9.638491530989926
C_1,782D5207,186387.66662859984,447838.77812186163,186401.484375,447830.5625,16.07565109575713
C_13,4B2A5555,186377.81680670183,447538.9847415364,186397.40625,447509.90625,35.06144547453031
C_13,55346178,186377.81680670183,447538.9847415364,186351.4375,447652.40625,116.44872865013537
C_13,782D5207,186377.81680670183,447538.9847415364,186357.1875,447578.75,44.797813291240196
C_14,4B2A5555,186376.99600605428,447514.00195852807,186359.65625,447529.34375,23.1524881079806
C_14,55346178,186376.99600605428,447514.00195852807,186391.078125,447543.125,32.348997180396275
C_14,782D5207,186376.99600605428,447514.00195852807,186364.625,447589.875,76.87496479996953
C_15,4B2A5555,186376.17520815207,447489.01917532866,186340.078125,447515.53125,44.787157930212956
C_15,55346178,186376.17520815207,447489.01917532866,186355.296875,447578.46875,91.85385786177812
C_15,782D5207,186376.17520815207,447489.01917532866,186405.421875,447544.40625,62.634619519576546
C_16,4B2A5555,186375.35441299475,447464.03639192047,186295.0625,447496,86.4202727016017
C_16,55346178,186375.35441299475,447464.03639192047,186387.546875,447520.90625,58.16216027397383
C_16,782D5207,186375.35441299475,447464.03639192047,186347.140625,447481.59375,33.2306884633147
C_17,4B2A5555,186367.6089075527,447989.4956527854,186383.859375,447944.8125,47.54641768945339
C_17,55346178,186367.6089075527,447989.4956527854,186324.625,447934.4375,69.84995702676021
C_17,782D5207,186367.6089075527,447989.4956527854,186385.25,447994.0625,18.22262978320314
C_18,4B2A5555,186366.78805729173,447964.51287064806,186359.0625,447938.59375,27.045980304596352
C_18,55346178,186366.78805729173,447964.51287064806,186226.296875,447965.25,140.4931160641365
C_18,782D5207,186366.78805729173,447964.51287064806,186370.78125,447906.96875,57.682505226142304
C_19,4B2A5555,186365.96720977605,447939.5300883058,186364.46875,447941.8125,2.730345187362458
C_19,55346178,186365.96720977605,447939.5300883058,186343.171875,447900.59375,45.11835245460094
C_19,782D5207,186365.96720977605,447939.5300883058,186377.84375,447936.84375,12.176560318269955
C_2,4B2A5555,186386.84579500952,447813.7953412723,186360.625,447822.71875,27.697604846854524
C_2,55346178,186386.84579500952,447813.7953412723,186331.5,447790.8125,59.928023646571205
